SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:55:FC:D8,2020-07-13 20:41:26.903030,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-88
1,DC:A6:32:55:FC:D8,2020-07-13 20:41:27.040891,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-86
2,DC:A6:32:55:FC:D8,2020-07-13 20:41:28.405827,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-96
3,DC:A6:32:55:FC:D8,2020-07-13 20:41:30.411580,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-94
4,DC:A6:32:55:FC:D8,2020-07-13 20:41:33.473145,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-97
5,DC:A6:32:55:FC:D8,2020-07-13 20:41:35.478169,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-98
6,DC:A6:32:55:FC:D8,2020-07-13 20:41:36.138134,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-98
7,DC:A6:32:55:FC:D8,2020-07-13 20:41:38.147147,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-94
8,DC:A6:32:55:FC:D8,2020-07-13 20:41:39.220801,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-96
9,DC:A6:32:55:FC:D8,2020-07-13 20:41:40.675840,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-92
10,DC:A6:32:55:FC:D8,2020-07-13 20:41:41.659623,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-97
11,DC:A6:32:55:FC:D8,2020-07-13 20:41:42.732267,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-95
12,DC:A6:32:55:FC:D8,2020-07-13 20:41:43.010877,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-95
13,DC:A6:32:55:FC:D8,2020-07-13 20:41:44.649827,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-95
14,DC:A6:32:55:FC:D8,2020-07-13 20:41:45.202220,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-95
15,DC:A6:32:55:FC:D8,2020-07-13 20:41:46.032269,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-91
16,DC:A6:32:55:FC:D8,2020-07-13 20:41:47.072318,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-90
17,DC:A6:32:55:FC:D8,2020-07-13 20:41:48.972482,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-87
18,DC:A6:32:55:FC:D8,2020-07-13 20:41:49.052309,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-98
19,DC:A6:32:55:FC:D8,2020-07-13 20:41:50.332671,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-90
20,DC:A6:32:55:FC:D8,2020-07-13 20:41:52.066362,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-98
21,DC:A6:32:55:FC:D8,2020-07-13 20:41:53.322613,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-98
22,DC:A6:32:55:FC:D8,2020-07-13 20:41:55.331080,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-91
23,DC:A6:32:55:FC:D8,2020-07-13 20:41:57.336596,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-96
24,DC:A6:32:55:FC:D8,2020-07-13 20:41:58.886507,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-95
25,DC:A6:32:55:FC:D8,2020-07-13 20:41:59.036495,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-95
26,DC:A6:32:55:FC:D8,2020-07-13 20:42:00.045823,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-88
27,DC:A6:32:55:FC:D8,2020-07-13 20:42:01.150773,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-93
28,DC:A6:32:55:FC:D8,2020-07-13 20:42:02.400445,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-96
29,DC:A6:32:55:FC:D8,2020-07-13 20:42:03.441621,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-94
30,DC:A6:32:55:FC:D8,2020-07-13 20:42:04.235327,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-93
31,DC:A6:32:55:FC:D8,2020-07-13 20:42:05.017807,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-95
32,DC:A6:32:55:FC:D8,2020-07-13 20:42:07.022960,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-88
33,DC:A6:32:55:FC:D8,2020-07-13 20:42:08.786832,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-91
34,DC:A6:32:55:FC:D8,2020-07-13 20:42:10.143571,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-96
