SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:55:FC:D8,2020-07-12 22:02:37.936263,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-52
1,DC:A6:32:55:FC:D8,2020-07-12 22:02:38.015091,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-54
2,DC:A6:32:55:FC:D8,2020-07-12 22:02:39.676831,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-52
3,DC:A6:32:55:FC:D8,2020-07-12 22:02:40.115467,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-53
4,DC:A6:32:55:FC:D8,2020-07-12 22:02:41.775507,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-52
5,DC:A6:32:55:FC:D8,2020-07-12 22:02:42.032948,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-52
6,DC:A6:32:55:FC:D8,2020-07-12 22:02:44.038196,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-50
7,DC:A6:32:55:FC:D8,2020-07-12 22:02:45.378196,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-52
8,DC:A6:32:55:FC:D8,2020-07-12 22:02:46.076851,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-54
9,DC:A6:32:55:FC:D8,2020-07-12 22:02:48.082075,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-54
10,DC:A6:32:55:FC:D8,2020-07-12 22:02:50.087096,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-50
11,DC:A6:32:55:FC:D8,2020-07-12 22:02:52.091426,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-53
12,DC:A6:32:55:FC:D8,2020-07-12 22:02:53.728334,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-54
13,DC:A6:32:55:FC:D8,2020-07-12 22:02:54.007007,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-53
14,DC:A6:32:55:FC:D8,2020-07-12 22:02:55.011551,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-50
15,DC:A6:32:55:FC:D8,2020-07-12 22:02:56.257192,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-50
16,DC:A6:32:55:FC:D8,2020-07-12 22:02:58.261570,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-54
17,DC:A6:32:55:FC:D8,2020-07-12 22:02:59.403443,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-52
18,DC:A6:32:55:FC:D8,2020-07-12 22:03:00.719792,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-52
19,DC:A6:32:55:FC:D8,2020-07-12 22:03:01.127270,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-52
20,DC:A6:32:55:FC:D8,2020-07-12 22:03:03.132409,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-52
21,DC:A6:32:55:FC:D8,2020-07-12 22:03:05.137474,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-54
22,DC:A6:32:55:FC:D8,2020-07-12 22:03:07.141897,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-52
23,DC:A6:32:55:FC:D8,2020-07-12 22:03:08.278711,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-52
24,DC:A6:32:55:FC:D8,2020-07-12 22:03:09.550087,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-54
25,DC:A6:32:55:FC:D8,2020-07-12 22:03:10.073789,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-50
26,DC:A6:32:55:FC:D8,2020-07-12 22:03:12.078842,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-52
27,DC:A6:32:55:FC:D8,2020-07-12 22:03:14.083883,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-55
28,DC:A6:32:55:FC:D8,2020-07-12 22:03:16.088993,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-54
29,DC:A6:32:55:FC:D8,2020-07-12 22:03:17.008955,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-50
30,DC:A6:32:55:FC:D8,2020-07-12 22:03:18.112060,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-52
31,DC:A6:32:55:FC:D8,2020-07-12 22:03:19.116516,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-54
32,DC:A6:32:55:FC:D8,2020-07-12 22:03:21.121636,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-50
33,DC:A6:32:55:FC:D8,2020-07-12 22:03:22.757244,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-52
34,DC:A6:32:55:FC:D8,2020-07-12 22:03:23.100333,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-54
35,DC:A6:32:55:FC:D8,2020-07-12 22:03:24.531660,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-54
36,DC:A6:32:55:FC:D8,2020-07-12 22:03:25.252289,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-55
37,DC:A6:32:55:FC:D8,2020-07-12 22:03:26.896692,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-53
