SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:55:FC:D8,2020-07-12 18:11:55.452573,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-74
1,DC:A6:32:55:FC:D8,2020-07-12 18:11:56.069716,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-79
2,DC:A6:32:55:FC:D8,2020-07-12 18:11:57.078486,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-77
3,DC:A6:32:55:FC:D8,2020-07-12 18:11:58.271023,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-72
4,DC:A6:32:55:FC:D8,2020-07-12 18:11:59.132274,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-79
5,DC:A6:32:55:FC:D8,2020-07-12 18:12:01.137323,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-74
6,DC:A6:32:55:FC:D8,2020-07-12 18:12:02.058509,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-79
7,DC:A6:32:55:FC:D8,2020-07-12 18:12:03.614829,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-81
8,DC:A6:32:55:FC:D8,2020-07-12 18:12:04.692302,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-78
9,DC:A6:32:55:FC:D8,2020-07-12 18:12:05.044649,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-78
10,DC:A6:32:55:FC:D8,2020-07-12 18:12:06.630925,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-78
11,DC:A6:32:55:FC:D8,2020-07-12 18:12:07.252227,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-79
12,DC:A6:32:55:FC:D8,2020-07-12 18:12:08.170920,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-73
13,DC:A6:32:55:FC:D8,2020-07-12 18:12:09.392357,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-81
14,DC:A6:32:55:FC:D8,2020-07-12 18:12:10.858573,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-73
15,DC:A6:32:55:FC:D8,2020-07-12 18:12:11.276580,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-74
16,DC:A6:32:55:FC:D8,2020-07-12 18:12:12.116042,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-78
17,DC:A6:32:55:FC:D8,2020-07-12 18:12:13.169810,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-74
18,DC:A6:32:55:FC:D8,2020-07-12 18:12:15.144861,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-73
19,DC:A6:32:55:FC:D8,2020-07-12 18:12:16.314778,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-73
20,DC:A6:32:55:FC:D8,2020-07-12 18:12:18.319882,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-75
21,DC:A6:32:55:FC:D8,2020-07-12 18:12:20.324894,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-82
22,DC:A6:32:55:FC:D8,2020-07-12 18:12:21.161621,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-73
23,DC:A6:32:55:FC:D8,2020-07-12 18:12:22.681076,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-73
24,DC:A6:32:55:FC:D8,2020-07-12 18:12:23.212271,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-73
25,DC:A6:32:55:FC:D8,2020-07-12 18:12:25.216209,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-80
26,DC:A6:32:55:FC:D8,2020-07-12 18:12:26.109837,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-81
27,DC:A6:32:55:FC:D8,2020-07-12 18:12:28.114876,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-73
28,DC:A6:32:55:FC:D8,2020-07-12 18:12:30.119982,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-72
29,DC:A6:32:55:FC:D8,2020-07-12 18:12:31.641136,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-82
30,DC:A6:32:55:FC:D8,2020-07-12 18:12:32.094802,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-82
31,DC:A6:32:55:FC:D8,2020-07-12 18:12:33.291117,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-74
32,DC:A6:32:55:FC:D8,2020-07-12 18:12:34.206809,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-73
33,DC:A6:32:55:FC:D8,2020-07-12 18:12:35.552463,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-84
34,DC:A6:32:55:FC:D8,2020-07-12 18:12:36.019939,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-81
35,DC:A6:32:55:FC:D8,2020-07-12 18:12:37.002486,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-81
36,DC:A6:32:55:FC:D8,2020-07-12 18:12:39.007565,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-81
37,DC:A6:32:55:FC:D8,2020-07-12 18:12:40.206864,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-77
38,DC:A6:32:55:FC:D8,2020-07-12 18:12:41.161210,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-79
39,DC:A6:32:55:FC:D8,2020-07-12 18:12:42.081238,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-79
40,DC:A6:32:55:FC:D8,2020-07-12 18:12:43.359438,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-79
41,DC:A6:32:55:FC:D8,2020-07-12 18:12:44.642591,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-78
42,DC:A6:32:55:FC:D8,2020-07-12 18:12:45.054994,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-74
43,DC:A6:32:55:FC:D8,2020-07-12 18:12:46.020681,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-80
44,DC:A6:32:55:FC:D8,2020-07-12 18:12:48.025101,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-73
45,DC:A6:32:55:FC:D8,2020-07-12 18:12:50.030180,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-75
46,DC:A6:32:55:FC:D8,2020-07-12 18:12:51.186381,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-80
47,DC:A6:32:55:FC:D8,2020-07-12 18:12:52.138132,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-75
48,DC:A6:32:55:FC:D8,2020-07-12 18:12:53.571419,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-78
49,DC:A6:32:55:FC:D8,2020-07-12 18:12:54.136366,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-78
