SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:55:FC:D8,2020-07-04 15:56:39.801758,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-70
1,DC:A6:32:55:FC:D8,2020-07-04 15:56:40.057364,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-71
2,DC:A6:32:55:FC:D8,2020-07-04 15:56:41.937642,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-75
3,DC:A6:32:55:FC:D8,2020-07-04 15:56:42.037416,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-70
4,DC:A6:32:55:FC:D8,2020-07-04 15:56:43.232464,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-77
5,DC:A6:32:55:FC:D8,2020-07-04 15:56:44.497371,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-71
6,DC:A6:32:55:FC:D8,2020-07-04 15:56:45.004836,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-71
7,DC:A6:32:55:FC:D8,2020-07-04 15:56:46.226079,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-76
8,DC:A6:32:55:FC:D8,2020-07-04 15:56:47.099038,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-75
9,DC:A6:32:55:FC:D8,2020-07-04 15:56:48.745784,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-71
10,DC:A6:32:55:FC:D8,2020-07-04 15:56:49.100697,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-72
11,DC:A6:32:55:FC:D8,2020-07-04 15:56:50.132056,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-56
12,DC:A6:32:55:FC:D8,2020-07-04 15:56:51.446939,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-69
13,DC:A6:32:55:FC:D8,2020-07-04 15:56:52.344267,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-71
14,DC:A6:32:55:FC:D8,2020-07-04 15:56:53.161698,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-71
15,DC:A6:32:55:FC:D8,2020-07-04 15:56:55.120407,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-69
