SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:55:FC:D8,2020-07-13 19:43:49.382136,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-43
1,DC:A6:32:55:FC:D8,2020-07-13 19:43:51.386541,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-47
2,DC:A6:32:55:FC:D8,2020-07-13 19:43:53.085181,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-45
3,DC:A6:32:55:FC:D8,2020-07-13 19:43:55.090366,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-47
4,DC:A6:32:55:FC:D8,2020-07-13 19:43:56.037734,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-47
5,DC:A6:32:55:FC:D8,2020-07-13 19:43:57.007715,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-42
6,DC:A6:32:55:FC:D8,2020-07-13 19:43:59.012833,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-42
7,DC:A6:32:55:FC:D8,2020-07-13 19:44:00.734208,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-47
8,DC:A6:32:55:FC:D8,2020-07-13 19:44:01.048041,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-47
9,DC:A6:32:55:FC:D8,2020-07-13 19:44:02.504187,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-47
10,DC:A6:32:55:FC:D8,2020-07-13 19:44:04.509262,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-43
11,DC:A6:32:55:FC:D8,2020-07-13 19:44:05.078031,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-43
12,DC:A6:32:55:FC:D8,2020-07-13 19:44:07.083126,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-47
13,DC:A6:32:55:FC:D8,2020-07-13 19:44:08.140600,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-47
14,DC:A6:32:55:FC:D8,2020-07-13 19:44:09.436886,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-47
15,DC:A6:32:55:FC:D8,2020-07-13 19:44:10.046938,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-43
16,DC:A6:32:55:FC:D8,2020-07-13 19:44:12.051917,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-42
17,DC:A6:32:55:FC:D8,2020-07-13 19:44:13.569450,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-42
18,DC:A6:32:55:FC:D8,2020-07-13 19:44:14.818941,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-47
19,DC:A6:32:55:FC:D8,2020-07-13 19:44:15.043165,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-42
20,DC:A6:32:55:FC:D8,2020-07-13 19:44:17.048222,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-47
21,DC:A6:32:55:FC:D8,2020-07-13 19:44:18.005734,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-46
22,DC:A6:32:55:FC:D8,2020-07-13 19:44:19.374533,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-47
23,DC:A6:32:55:FC:D8,2020-07-13 19:44:20.074660,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-46
24,DC:A6:32:55:FC:D8,2020-07-13 19:44:22.079595,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-46
