SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:55:FC:D8,2020-07-12 22:51:47.138424,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-70
1,DC:A6:32:55:FC:D8,2020-07-12 22:51:49.036175,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-77
2,DC:A6:32:55:FC:D8,2020-07-12 22:51:51.047736,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-86
3,DC:A6:32:55:FC:D8,2020-07-12 22:51:53.052689,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-79
4,DC:A6:32:55:FC:D8,2020-07-12 22:51:54.187615,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-87
5,DC:A6:32:55:FC:D8,2020-07-12 22:51:55.515066,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-77
6,DC:A6:32:55:FC:D8,2020-07-12 22:51:56.033797,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-78
7,DC:A6:32:55:FC:D8,2020-07-12 22:51:57.012094,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-83
8,DC:A6:32:55:FC:D8,2020-07-12 22:51:58.078833,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-80
9,DC:A6:32:55:FC:D8,2020-07-12 22:51:59.087592,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-82
10,DC:A6:32:55:FC:D8,2020-07-12 22:52:01.092759,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-85
11,DC:A6:32:55:FC:D8,2020-07-12 22:52:02.036497,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-80
12,DC:A6:32:55:FC:D8,2020-07-12 22:52:03.394547,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-79
13,DC:A6:32:55:FC:D8,2020-07-12 22:52:04.227719,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-81
14,DC:A6:32:55:FC:D8,2020-07-12 22:52:05.417680,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-87
15,DC:A6:32:55:FC:D8,2020-07-12 22:52:06.384500,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-82
16,DC:A6:32:55:FC:D8,2020-07-12 22:52:07.600264,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-85
17,DC:A6:32:55:FC:D8,2020-07-12 22:52:08.078877,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-86
18,DC:A6:32:55:FC:D8,2020-07-12 22:52:09.385219,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-85
19,DC:A6:32:55:FC:D8,2020-07-12 22:52:11.390273,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-81
20,DC:A6:32:55:FC:D8,2020-07-12 22:52:12.012133,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-70
21,DC:A6:32:55:FC:D8,2020-07-12 22:52:13.030274,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-76
22,DC:A6:32:55:FC:D8,2020-07-12 22:52:15.035346,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-73
23,DC:A6:32:55:FC:D8,2020-07-12 22:52:17.040390,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-75
24,DC:A6:32:55:FC:D8,2020-07-12 22:52:18.361709,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-75
