SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:55:FC:D8,2020-07-12 20:47:59.299154,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-58
1,DC:A6:32:55:FC:D8,2020-07-12 20:48:00.318746,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-58
2,DC:A6:32:55:FC:D8,2020-07-12 20:48:02.324602,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-55
3,DC:A6:32:55:FC:D8,2020-07-12 20:48:03.434551,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-55
4,DC:A6:32:55:FC:D8,2020-07-12 20:48:04.175964,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-58
5,DC:A6:32:55:FC:D8,2020-07-12 20:48:06.181081,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-58
6,DC:A6:32:55:FC:D8,2020-07-12 20:48:07.757306,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-54
7,DC:A6:32:55:FC:D8,2020-07-12 20:48:08.006644,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-59
8,DC:A6:32:55:FC:D8,2020-07-12 20:48:10.011239,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-55
9,DC:A6:32:55:FC:D8,2020-07-12 20:48:11.828057,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-47
10,DC:A6:32:55:FC:D8,2020-07-12 20:48:12.007975,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-60
11,DC:A6:32:55:FC:D8,2020-07-12 20:48:14.012586,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-55
12,DC:A6:32:55:FC:D8,2020-07-12 20:48:16.016906,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-55
13,DC:A6:32:55:FC:D8,2020-07-12 20:48:18.022570,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-57
14,DC:A6:32:55:FC:D8,2020-07-12 20:48:19.260966,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-57
15,DC:A6:32:55:FC:D8,2020-07-12 20:48:21.265971,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-57
16,DC:A6:32:55:FC:D8,2020-07-12 20:48:22.159916,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-47
17,DC:A6:32:55:FC:D8,2020-07-12 20:48:24.165504,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-55
18,DC:A6:32:55:FC:D8,2020-07-12 20:48:25.045564,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-57
19,DC:A6:32:55:FC:D8,2020-07-12 20:48:27.051257,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-45
20,DC:A6:32:55:FC:D8,2020-07-12 20:48:29.056692,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-58
21,DC:A6:32:55:FC:D8,2020-07-12 20:48:31.062123,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-47
22,DC:A6:32:55:FC:D8,2020-07-12 20:48:32.218489,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-55
23,DC:A6:32:55:FC:D8,2020-07-12 20:48:34.120839,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-54
24,DC:A6:32:55:FC:D8,2020-07-12 20:48:35.095261,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-54
25,DC:A6:32:55:FC:D8,2020-07-12 20:48:37.104457,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-57
26,DC:A6:32:55:FC:D8,2020-07-12 20:48:39.109944,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-47
27,DC:A6:32:55:FC:D8,2020-07-12 20:48:41.115235,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-46
28,DC:A6:32:55:FC:D8,2020-07-12 20:48:42.293780,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-54
29,DC:A6:32:55:FC:D8,2020-07-12 20:48:44.298911,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-46
30,DC:A6:32:55:FC:D8,2020-07-12 20:48:45.152000,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-59
31,DC:A6:32:55:FC:D8,2020-07-12 20:48:47.157360,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-57
32,DC:A6:32:55:FC:D8,2020-07-12 20:48:49.162723,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-54
33,DC:A6:32:55:FC:D8,2020-07-12 20:48:50.041450,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-59
34,DC:A6:32:55:FC:D8,2020-07-12 20:48:52.014756,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-45
35,DC:A6:32:55:FC:D8,2020-07-12 20:48:53.534495,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-47
36,DC:A6:32:55:FC:D8,2020-07-12 20:48:54.689533,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-57
37,DC:A6:32:55:FC:D8,2020-07-12 20:48:55.464688,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-57
38,DC:A6:32:55:FC:D8,2020-07-12 20:48:56.167833,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-47
39,DC:A6:32:55:FC:D8,2020-07-12 20:48:57.043636,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-55
40,DC:A6:32:55:FC:D8,2020-07-12 20:48:58.312562,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-54
41,DC:A6:32:55:FC:D8,2020-07-12 20:48:59.021311,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-59
