SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:55:FC:D8,2020-07-12 15:47:24.412938,fc7feca0-c477-11ea-962f-dca63255fcd7,1,1,1,-80
1,DC:A6:32:55:FC:D8,2020-07-12 15:47:25.717486,fc7feca0-c477-11ea-962f-dca63255fcd7,1,1,1,-67
2,DC:A6:32:55:FC:D8,2020-07-12 15:47:26.104230,fc7feca0-c477-11ea-962f-dca63255fcd7,1,1,1,-74
3,DC:A6:32:55:FC:D8,2020-07-12 15:47:28.110055,fc7feca0-c477-11ea-962f-dca63255fcd7,1,1,1,-68
4,DC:A6:32:55:FC:D8,2020-07-12 15:47:29.221210,fc7feca0-c477-11ea-962f-dca63255fcd7,1,1,1,-79
5,DC:A6:32:55:FC:D8,2020-07-12 15:47:30.075046,fc7feca0-c477-11ea-962f-dca63255fcd7,1,1,1,-68
6,DC:A6:32:55:FC:D8,2020-07-12 15:47:31.283120,fc7feca0-c477-11ea-962f-dca63255fcd7,1,1,1,-83
7,DC:A6:32:55:FC:D8,2020-07-12 15:47:33.066330,fc7feca0-c477-11ea-962f-dca63255fcd7,1,1,1,-66
8,DC:A6:32:55:FC:D8,2020-07-12 15:47:34.157552,fc7feca0-c477-11ea-962f-dca63255fcd7,1,1,1,-69
9,DC:A6:32:55:FC:D8,2020-07-12 15:47:35.157011,fc7feca0-c477-11ea-962f-dca63255fcd7,1,1,1,-78
10,DC:A6:32:55:FC:D8,2020-07-12 15:47:36.511351,fc7feca0-c477-11ea-962f-dca63255fcd7,1,1,1,-78
11,DC:A6:32:55:FC:D8,2020-07-12 15:47:37.191303,fc7feca0-c477-11ea-962f-dca63255fcd7,1,1,1,-78
12,DC:A6:32:55:FC:D8,2020-07-12 15:47:38.047627,fc7feca0-c477-11ea-962f-dca63255fcd7,1,1,1,-65
13,DC:A6:32:55:FC:D8,2020-07-12 15:47:40.052753,fc7feca0-c477-11ea-962f-dca63255fcd7,1,1,1,-65
