SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:55:FC:D8,2020-07-12 20:26:35.880925,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-71
1,DC:A6:32:55:FC:D8,2020-07-12 20:26:36.003431,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-79
2,DC:A6:32:55:FC:D8,2020-07-12 20:26:38.007644,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-72
3,DC:A6:32:55:FC:D8,2020-07-12 20:26:39.007585,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-79
4,DC:A6:32:55:FC:D8,2020-07-12 20:26:40.377609,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-71
5,DC:A6:32:55:FC:D8,2020-07-12 20:26:41.230184,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-78
6,DC:A6:32:55:FC:D8,2020-07-12 20:26:42.786456,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-71
7,DC:A6:32:55:FC:D8,2020-07-12 20:26:43.052520,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-71
8,DC:A6:32:55:FC:D8,2020-07-12 20:26:44.685183,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-71
9,DC:A6:32:55:FC:D8,2020-07-12 20:26:45.226413,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-70
10,DC:A6:32:55:FC:D8,2020-07-12 20:26:46.043927,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-78
11,DC:A6:32:55:FC:D8,2020-07-12 20:26:47.122780,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-78
12,DC:A6:32:55:FC:D8,2020-07-12 20:26:49.127800,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-71
13,DC:A6:32:55:FC:D8,2020-07-12 20:26:50.635287,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-71
14,DC:A6:32:55:FC:D8,2020-07-12 20:26:51.139019,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-78
