SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:55:FC:D8,2020-07-12 18:16:00.324632,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-77
1,DC:A6:32:55:FC:D8,2020-07-12 18:16:01.006965,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-74
2,DC:A6:32:55:FC:D8,2020-07-12 18:16:03.011924,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-75
3,DC:A6:32:55:FC:D8,2020-07-12 18:16:04.748782,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-75
4,DC:A6:32:55:FC:D8,2020-07-12 18:16:05.018117,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-81
5,DC:A6:32:55:FC:D8,2020-07-12 18:16:07.023011,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-75
6,DC:A6:32:55:FC:D8,2020-07-12 18:16:09.027524,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-78
7,DC:A6:32:55:FC:D8,2020-07-12 18:16:11.032501,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-77
8,DC:A6:32:55:FC:D8,2020-07-12 18:16:12.391884,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-78
9,DC:A6:32:55:FC:D8,2020-07-12 18:16:13.164343,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-77
10,DC:A6:32:55:FC:D8,2020-07-12 18:16:15.169524,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-79
11,DC:A6:32:55:FC:D8,2020-07-12 18:16:16.457774,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-80
12,DC:A6:32:55:FC:D8,2020-07-12 18:16:17.256980,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-75
13,DC:A6:32:55:FC:D8,2020-07-12 18:16:18.174400,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-75
14,DC:A6:32:55:FC:D8,2020-07-12 18:16:19.577007,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-79
15,DC:A6:32:55:FC:D8,2020-07-12 18:16:20.118703,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-80
16,DC:A6:32:55:FC:D8,2020-07-12 18:16:22.011455,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-77
17,DC:A6:32:55:FC:D8,2020-07-12 18:16:23.003272,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-81
18,DC:A6:32:55:FC:D8,2020-07-12 18:16:24.410818,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-80
