SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:55:FC:D8,2020-07-13 20:44:49.275460,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-66
1,DC:A6:32:55:FC:D8,2020-07-13 20:44:50.338203,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-65
2,DC:A6:32:55:FC:D8,2020-07-13 20:44:52.342980,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-65
3,DC:A6:32:55:FC:D8,2020-07-13 20:44:54.347695,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-65
4,DC:A6:32:55:FC:D8,2020-07-13 20:44:55.175001,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-67
5,DC:A6:32:55:FC:D8,2020-07-13 20:44:56.268655,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-64
6,DC:A6:32:55:FC:D8,2020-07-13 20:44:58.273616,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-67
7,DC:A6:32:55:FC:D8,2020-07-13 20:45:00.278203,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-66
8,DC:A6:32:55:FC:D8,2020-07-13 20:45:01.205746,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-66
9,DC:A6:32:55:FC:D8,2020-07-13 20:45:03.006573,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-66
10,DC:A6:32:55:FC:D8,2020-07-13 20:45:05.011411,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-68
11,DC:A6:32:55:FC:D8,2020-07-13 20:45:07.016207,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-65
12,DC:A6:32:55:FC:D8,2020-07-13 20:45:09.021036,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-66
13,DC:A6:32:55:FC:D8,2020-07-13 20:45:10.005795,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-68
14,DC:A6:32:55:FC:D8,2020-07-13 20:45:12.010039,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-69
15,DC:A6:32:55:FC:D8,2020-07-13 20:45:14.015576,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-66
16,DC:A6:32:55:FC:D8,2020-07-13 20:45:16.020183,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-66
17,DC:A6:32:55:FC:D8,2020-07-13 20:45:17.714472,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-67
18,DC:A6:32:55:FC:D8,2020-07-13 20:45:18.184920,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-69
19,DC:A6:32:55:FC:D8,2020-07-13 20:45:20.189762,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-69
20,DC:A6:32:55:FC:D8,2020-07-13 20:45:21.178361,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-69
21,DC:A6:32:55:FC:D8,2020-07-13 20:45:22.090883,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-68
22,DC:A6:32:55:FC:D8,2020-07-13 20:45:23.183272,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-67
23,DC:A6:32:55:FC:D8,2020-07-13 20:45:24.061176,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-69
24,DC:A6:32:55:FC:D8,2020-07-13 20:45:26.066515,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-70
25,DC:A6:32:55:FC:D8,2020-07-13 20:45:27.233879,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-71
26,DC:A6:32:55:FC:D8,2020-07-13 20:45:28.121416,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-68
27,DC:A6:32:55:FC:D8,2020-07-13 20:45:29.127473,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-68
28,DC:A6:32:55:FC:D8,2020-07-13 20:45:30.670365,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-69
29,DC:A6:32:55:FC:D8,2020-07-13 20:45:31.102138,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-69
30,DC:A6:32:55:FC:D8,2020-07-13 20:45:32.042132,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-70
31,DC:A6:32:55:FC:D8,2020-07-13 20:45:33.686401,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-71
32,DC:A6:32:55:FC:D8,2020-07-13 20:45:34.151867,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-67
33,DC:A6:32:55:FC:D8,2020-07-13 20:45:36.156658,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-71
34,DC:A6:32:55:FC:D8,2020-07-13 20:45:38.062798,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-68
35,DC:A6:32:55:FC:D8,2020-07-13 20:45:40.067576,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-68
36,DC:A6:32:55:FC:D8,2020-07-13 20:45:41.709853,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-69
37,DC:A6:32:55:FC:D8,2020-07-13 20:45:42.323577,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-69
38,DC:A6:32:55:FC:D8,2020-07-13 20:45:43.600802,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-68
39,DC:A6:32:55:FC:D8,2020-07-13 20:45:44.103825,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-68
40,DC:A6:32:55:FC:D8,2020-07-13 20:45:46.108046,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-68
41,DC:A6:32:55:FC:D8,2020-07-13 20:45:48.112943,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-70
42,DC:A6:32:55:FC:D8,2020-07-13 20:45:49.093944,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-71
