SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI,DISTANCE
0,DC:A6:32:55:FC:D8,2020-07-12 22:10:10.093638,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-75,2.0
1,DC:A6:32:55:FC:D8,2020-07-12 22:10:12.099060,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-77,2.0
2,DC:A6:32:55:FC:D8,2020-07-12 22:10:13.055234,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-77,2.0
3,DC:A6:32:55:FC:D8,2020-07-12 22:10:15.060483,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-74,2.0
4,DC:A6:32:55:FC:D8,2020-07-12 22:10:17.066629,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-73,2.0
5,DC:A6:32:55:FC:D8,2020-07-12 22:10:19.071689,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-72,2.0
6,DC:A6:32:55:FC:D8,2020-07-12 22:10:20.693627,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-73,2.0
7,DC:A6:32:55:FC:D8,2020-07-12 22:10:21.156118,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-72,2.0
8,DC:A6:32:55:FC:D8,2020-07-12 22:10:23.161788,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-78,2.0
9,DC:A6:32:55:FC:D8,2020-07-12 22:10:25.166887,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-72,2.0
10,DC:A6:32:55:FC:D8,2020-07-12 22:10:26.353108,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-72,2.0
11,DC:A6:32:55:FC:D8,2020-07-12 22:10:27.139370,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-70,2.0
12,DC:A6:32:55:FC:D8,2020-07-12 22:10:29.144458,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-72,2.0
13,DC:A6:32:55:FC:D8,2020-07-12 22:10:30.193257,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-79,2.0
14,DC:A6:32:55:FC:D8,2020-07-12 22:10:31.490757,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-73,2.0
15,DC:A6:32:55:FC:D8,2020-07-12 22:10:32.302022,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-72,2.0
16,DC:A6:32:55:FC:D8,2020-07-12 22:10:34.307134,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-73,2.0
17,DC:A6:32:55:FC:D8,2020-07-12 22:10:35.020889,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-73,2.0
18,DC:A6:32:55:FC:D8,2020-07-12 22:10:37.025975,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-72,2.0
19,DC:A6:32:55:FC:D8,2020-07-12 22:10:39.030990,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-72,2.0
