SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI,DISTANCE,SCENARIO
0,DC:A6:32:55:FC:D8,2020-07-12 22:27:10.575788,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-84,4.5,rec_hand_list
1,DC:A6:32:55:FC:D8,2020-07-12 22:27:12.580504,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-87,4.5,rec_hand_list
2,DC:A6:32:55:FC:D8,2020-07-12 22:27:14.111667,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-82,4.5,rec_hand_list
3,DC:A6:32:55:FC:D8,2020-07-12 22:27:15.191762,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-85,4.5,rec_hand_list
4,DC:A6:32:55:FC:D8,2020-07-12 22:27:16.820603,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-86,4.5,rec_hand_list
5,DC:A6:32:55:FC:D8,2020-07-12 22:27:17.140409,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-87,4.5,rec_hand_list
6,DC:A6:32:55:FC:D8,2020-07-12 22:27:18.328032,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-89,4.5,rec_hand_list
7,DC:A6:32:55:FC:D8,2020-07-12 22:27:19.419331,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-86,4.5,rec_hand_list
8,DC:A6:32:55:FC:D8,2020-07-12 22:27:20.240629,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-91,4.5,rec_hand_list
9,DC:A6:32:55:FC:D8,2020-07-12 22:27:21.342559,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-85,4.5,rec_hand_list
10,DC:A6:32:55:FC:D8,2020-07-12 22:27:22.116880,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-83,4.5,rec_hand_list
11,DC:A6:32:55:FC:D8,2020-07-12 22:27:24.121991,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-84,4.5,rec_hand_list
12,DC:A6:32:55:FC:D8,2020-07-12 22:27:25.932109,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-82,4.5,rec_hand_list
13,DC:A6:32:55:FC:D8,2020-07-12 22:27:26.006901,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-83,4.5,rec_hand_list
14,DC:A6:32:55:FC:D8,2020-07-12 22:27:27.052046,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-81,4.5,rec_hand_list
15,DC:A6:32:55:FC:D8,2020-07-12 22:27:28.752690,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-82,4.5,rec_hand_list
16,DC:A6:32:55:FC:D8,2020-07-12 22:27:29.197116,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-84,4.5,rec_hand_list
17,DC:A6:32:55:FC:D8,2020-07-12 22:27:30.290919,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-82,4.5,rec_hand_list
18,DC:A6:32:55:FC:D8,2020-07-12 22:27:31.214113,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-80,4.5,rec_hand_list
19,DC:A6:32:55:FC:D8,2020-07-12 22:27:33.219798,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-83,4.5,rec_hand_list
20,DC:A6:32:55:FC:D8,2020-07-12 22:27:35.224804,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-83,4.5,rec_hand_list
21,DC:A6:32:55:FC:D8,2020-07-12 22:27:36.016176,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-83,4.5,rec_hand_list
22,DC:A6:32:55:FC:D8,2020-07-12 22:27:37.207359,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-84,4.5,rec_hand_list
23,DC:A6:32:55:FC:D8,2020-07-12 22:27:38.114205,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-87,4.5,rec_hand_list
24,DC:A6:32:55:FC:D8,2020-07-12 22:27:40.118726,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-86,4.5,rec_hand_list
25,DC:A6:32:55:FC:D8,2020-07-12 22:27:41.791299,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-82,4.5,rec_hand_list
