SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI,DISTANCE,SCENARIO
0,DC:A6:32:55:FC:D8,2020-07-12 21:10:07.163741,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-74,3.0,rec_purse_list
1,DC:A6:32:55:FC:D8,2020-07-12 21:10:09.167357,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-77,3.0,rec_purse_list
2,DC:A6:32:55:FC:D8,2020-07-12 21:10:11.172798,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-70,3.0,rec_purse_list
3,DC:A6:32:55:FC:D8,2020-07-12 21:10:13.177695,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-77,3.0,rec_purse_list
4,DC:A6:32:55:FC:D8,2020-07-12 21:10:15.182688,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-77,3.0,rec_purse_list
5,DC:A6:32:55:FC:D8,2020-07-12 21:10:17.123792,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-72,3.0,rec_purse_list
6,DC:A6:32:55:FC:D8,2020-07-12 21:10:19.128739,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-77,3.0,rec_purse_list
7,DC:A6:32:55:FC:D8,2020-07-12 21:10:20.132357,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-70,3.0,rec_purse_list
8,DC:A6:32:55:FC:D8,2020-07-12 21:10:21.219811,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-72,3.0,rec_purse_list
9,DC:A6:32:55:FC:D8,2020-07-12 21:10:22.849769,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-70,3.0,rec_purse_list
10,DC:A6:32:55:FC:D8,2020-07-12 21:10:23.022225,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-77,3.0,rec_purse_list
11,DC:A6:32:55:FC:D8,2020-07-12 21:10:24.056613,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-70,3.0,rec_purse_list
12,DC:A6:32:55:FC:D8,2020-07-12 21:10:25.304656,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-71,3.0,rec_purse_list
13,DC:A6:32:55:FC:D8,2020-07-12 21:10:27.020747,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-71,3.0,rec_purse_list
14,DC:A6:32:55:FC:D8,2020-07-12 21:10:29.025880,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-78,3.0,rec_purse_list
15,DC:A6:32:55:FC:D8,2020-07-12 21:10:31.030648,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-78,3.0,rec_purse_list
16,DC:A6:32:55:FC:D8,2020-07-12 21:10:33.035616,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-72,3.0,rec_purse_list
17,DC:A6:32:55:FC:D8,2020-07-12 21:10:35.040534,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-71,3.0,rec_purse_list
18,DC:A6:32:55:FC:D8,2020-07-12 21:10:37.045367,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-71,3.0,rec_purse_list
19,DC:A6:32:55:FC:D8,2020-07-12 21:10:39.050334,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-73,3.0,rec_purse_list
20,DC:A6:32:55:FC:D8,2020-07-12 21:10:41.055239,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-78,3.0,rec_purse_list
21,DC:A6:32:55:FC:D8,2020-07-12 21:10:43.061390,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-73,3.0,rec_purse_list
22,DC:A6:32:55:FC:D8,2020-07-12 21:10:45.066370,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-70,3.0,rec_purse_list
23,DC:A6:32:55:FC:D8,2020-07-12 21:10:47.071163,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-72,3.0,rec_purse_list
24,DC:A6:32:55:FC:D8,2020-07-12 21:10:49.068624,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-73,3.0,rec_purse_list
25,DC:A6:32:55:FC:D8,2020-07-12 21:10:50.279764,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-71,3.0,rec_purse_list
26,DC:A6:32:55:FC:D8,2020-07-12 21:10:51.639685,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-71,3.0,rec_purse_list
27,DC:A6:32:55:FC:D8,2020-07-12 21:10:52.075301,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-73,3.0,rec_purse_list
28,DC:A6:32:55:FC:D8,2020-07-12 21:10:53.104621,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-76,3.0,rec_purse_list
29,DC:A6:32:55:FC:D8,2020-07-12 21:10:55.109620,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-71,3.0,rec_purse_list
30,DC:A6:32:55:FC:D8,2020-07-12 21:10:56.076276,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-70,3.0,rec_purse_list
31,DC:A6:32:55:FC:D8,2020-07-12 21:10:57.470669,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-76,3.0,rec_purse_list
32,DC:A6:32:55:FC:D8,2020-07-12 21:10:59.474990,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-72,3.0,rec_purse_list
33,DC:A6:32:55:FC:D8,2020-07-12 21:11:00.209217,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-69,3.0,rec_purse_list
34,DC:A6:32:55:FC:D8,2020-07-12 21:11:01.284326,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-76,3.0,rec_purse_list
35,DC:A6:32:55:FC:D8,2020-07-12 21:11:03.289124,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-77,3.0,rec_purse_list
36,DC:A6:32:55:FC:D8,2020-07-12 21:11:05.294102,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-72,3.0,rec_purse_list
0,DC:A6:32:55:FC:D8,2020-07-12 21:12:29.213095,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-76,3.5,rec_purse_list
1,DC:A6:32:55:FC:D8,2020-07-12 21:12:30.581213,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-74,3.5,rec_purse_list
2,DC:A6:32:55:FC:D8,2020-07-12 21:12:31.224936,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-54,3.5,rec_purse_list
3,DC:A6:32:55:FC:D8,2020-07-12 21:12:33.005910,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-75,3.5,rec_purse_list
