SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI,DISTANCE,SCENARIO
0,DC:A6:32:55:FC:D8,2020-07-12 15:55:46.219299,fc7feca0-c477-11ea-962f-dca63255fcd7,1,1,1,-73,4.5,rec_thin_list
1,DC:A6:32:55:FC:D8,2020-07-12 15:55:47.065752,fc7feca0-c477-11ea-962f-dca63255fcd7,1,1,1,-73,4.5,rec_thin_list
2,DC:A6:32:55:FC:D8,2020-07-12 15:55:49.070914,fc7feca0-c477-11ea-962f-dca63255fcd7,1,1,1,-73,4.5,rec_thin_list
3,DC:A6:32:55:FC:D8,2020-07-12 15:55:50.680935,fc7feca0-c477-11ea-962f-dca63255fcd7,1,1,1,-74,4.5,rec_thin_list
4,DC:A6:32:55:FC:D8,2020-07-12 15:55:51.034518,fc7feca0-c477-11ea-962f-dca63255fcd7,1,1,1,-73,4.5,rec_thin_list
5,DC:A6:32:55:FC:D8,2020-07-12 15:55:52.069529,fc7feca0-c477-11ea-962f-dca63255fcd7,1,1,1,-71,4.5,rec_thin_list
6,DC:A6:32:55:FC:D8,2020-07-12 15:55:53.655819,fc7feca0-c477-11ea-962f-dca63255fcd7,1,1,1,-72,4.5,rec_thin_list
7,DC:A6:32:55:FC:D8,2020-07-12 15:55:54.118285,fc7feca0-c477-11ea-962f-dca63255fcd7,1,1,1,-71,4.5,rec_thin_list
8,DC:A6:32:55:FC:D8,2020-07-12 15:55:55.068469,fc7feca0-c477-11ea-962f-dca63255fcd7,1,1,1,-73,4.5,rec_thin_list
9,DC:A6:32:55:FC:D8,2020-07-12 15:55:56.430969,fc7feca0-c477-11ea-962f-dca63255fcd7,1,1,1,-73,4.5,rec_thin_list
10,DC:A6:32:55:FC:D8,2020-07-12 15:55:57.007719,fc7feca0-c477-11ea-962f-dca63255fcd7,1,1,1,-72,4.5,rec_thin_list
11,DC:A6:32:55:FC:D8,2020-07-12 15:55:59.012199,fc7feca0-c477-11ea-962f-dca63255fcd7,1,1,1,-70,4.5,rec_thin_list
12,DC:A6:32:55:FC:D8,2020-07-12 15:56:01.018706,fc7feca0-c477-11ea-962f-dca63255fcd7,1,1,1,-74,4.5,rec_thin_list
13,DC:A6:32:55:FC:D8,2020-07-12 15:56:03.023628,fc7feca0-c477-11ea-962f-dca63255fcd7,1,1,1,-71,4.5,rec_thin_list
14,DC:A6:32:55:FC:D8,2020-07-12 15:56:04.293572,fc7feca0-c477-11ea-962f-dca63255fcd7,1,1,1,-71,4.5,rec_thin_list
15,DC:A6:32:55:FC:D8,2020-07-12 15:56:05.022371,fc7feca0-c477-11ea-962f-dca63255fcd7,1,1,1,-71,4.5,rec_thin_list
16,DC:A6:32:55:FC:D8,2020-07-12 15:56:07.027475,fc7feca0-c477-11ea-962f-dca63255fcd7,1,1,1,-71,4.5,rec_thin_list
17,DC:A6:32:55:FC:D8,2020-07-12 15:56:08.904893,fc7feca0-c477-11ea-962f-dca63255fcd7,1,1,1,-70,4.5,rec_thin_list
18,DC:A6:32:55:FC:D8,2020-07-12 15:56:09.020446,fc7feca0-c477-11ea-962f-dca63255fcd7,1,1,1,-74,4.5,rec_thin_list
19,DC:A6:32:55:FC:D8,2020-07-12 15:56:11.024997,fc7feca0-c477-11ea-962f-dca63255fcd7,1,1,1,-75,4.5,rec_thin_list
20,DC:A6:32:55:FC:D8,2020-07-12 15:56:13.030028,fc7feca0-c477-11ea-962f-dca63255fcd7,1,1,1,-71,4.5,rec_thin_list
