SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI,DISTANCE,SCENARIO
0,DC:A6:32:55:FC:D8,2020-07-13 20:16:07.817976,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-76,4.5,trans_hand_list
1,DC:A6:32:55:FC:D8,2020-07-13 20:16:08.048093,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-76,4.5,trans_hand_list
2,DC:A6:32:55:FC:D8,2020-07-13 20:16:10.003195,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-75,4.5,trans_hand_list
3,DC:A6:32:55:FC:D8,2020-07-13 20:16:12.023553,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-72,4.5,trans_hand_list
4,DC:A6:32:55:FC:D8,2020-07-13 20:16:13.022772,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-72,4.5,trans_hand_list
5,DC:A6:32:55:FC:D8,2020-07-13 20:16:15.028497,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-72,4.5,trans_hand_list
6,DC:A6:32:55:FC:D8,2020-07-13 20:16:16.547220,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-75,4.5,trans_hand_list
7,DC:A6:32:55:FC:D8,2020-07-13 20:16:17.863912,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-83,4.5,trans_hand_list
8,DC:A6:32:55:FC:D8,2020-07-13 20:16:18.003361,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-71,4.5,trans_hand_list
9,DC:A6:32:55:FC:D8,2020-07-13 20:16:19.159307,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-81,4.5,trans_hand_list
10,DC:A6:32:55:FC:D8,2020-07-13 20:16:20.069893,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-73,4.5,trans_hand_list
11,DC:A6:32:55:FC:D8,2020-07-13 20:16:21.080542,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-72,4.5,trans_hand_list
