SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI,DISTANCE,SCENARIO
0,DC:A6:32:55:FC:D8,2020-07-12 18:17:15.036107,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-78,5.0,trans_purse_list
1,DC:A6:32:55:FC:D8,2020-07-12 18:17:16.618829,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-75,5.0,trans_purse_list
2,DC:A6:32:55:FC:D8,2020-07-12 18:17:17.245053,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-76,5.0,trans_purse_list
3,DC:A6:32:55:FC:D8,2020-07-12 18:17:18.076268,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-74,5.0,trans_purse_list
4,DC:A6:32:55:FC:D8,2020-07-12 18:17:20.081386,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-79,5.0,trans_purse_list
5,DC:A6:32:55:FC:D8,2020-07-12 18:17:21.638813,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-76,5.0,trans_purse_list
6,DC:A6:32:55:FC:D8,2020-07-12 18:17:22.031290,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-77,5.0,trans_purse_list
7,DC:A6:32:55:FC:D8,2020-07-12 18:17:24.036401,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-76,5.0,trans_purse_list
8,DC:A6:32:55:FC:D8,2020-07-12 18:17:25.290664,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-75,5.0,trans_purse_list
9,DC:A6:32:55:FC:D8,2020-07-12 18:17:27.295150,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-75,5.0,trans_purse_list
10,DC:A6:32:55:FC:D8,2020-07-12 18:17:28.307576,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-74,5.0,trans_purse_list
11,DC:A6:32:55:FC:D8,2020-07-12 18:17:29.017639,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-77,5.0,trans_purse_list
12,DC:A6:32:55:FC:D8,2020-07-12 18:17:30.155086,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-76,5.0,trans_purse_list
13,DC:A6:32:55:FC:D8,2020-07-12 18:17:31.406443,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-74,5.0,trans_purse_list
14,DC:A6:32:55:FC:D8,2020-07-12 18:17:32.713876,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-75,5.0,trans_purse_list
15,DC:A6:32:55:FC:D8,2020-07-12 18:17:33.005128,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-76,5.0,trans_purse_list
16,DC:A6:32:55:FC:D8,2020-07-12 18:17:34.257709,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-77,5.0,trans_purse_list
17,DC:A6:32:55:FC:D8,2020-07-12 18:17:35.178939,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-75,5.0,trans_purse_list
