SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI,DISTANCE
0,DC:A6:32:55:FC:D8,2020-07-13 20:33:49.057865,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-76,3.0
1,DC:A6:32:55:FC:D8,2020-07-13 20:33:50.696981,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-82,3.0
2,DC:A6:32:55:FC:D8,2020-07-13 20:33:51.087564,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-80,3.0
3,DC:A6:32:55:FC:D8,2020-07-13 20:33:53.093443,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-76,3.0
4,DC:A6:32:55:FC:D8,2020-07-13 20:33:54.280166,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-74,3.0
5,DC:A6:32:55:FC:D8,2020-07-13 20:33:55.048339,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-74,3.0
6,DC:A6:32:55:FC:D8,2020-07-13 20:33:57.052797,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-91,3.0
7,DC:A6:32:55:FC:D8,2020-07-13 20:33:58.101941,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-74,3.0
8,DC:A6:32:55:FC:D8,2020-07-13 20:33:59.133574,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-74,3.0
9,DC:A6:32:55:FC:D8,2020-07-13 20:34:00.228394,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-75,3.0
10,DC:A6:32:55:FC:D8,2020-07-13 20:34:01.118826,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-89,3.0
11,DC:A6:32:55:FC:D8,2020-07-13 20:34:02.042743,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-75,3.0
12,DC:A6:32:55:FC:D8,2020-07-13 20:34:03.059400,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-75,3.0
13,DC:A6:32:55:FC:D8,2020-07-13 20:34:05.063978,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-92,3.0
14,DC:A6:32:55:FC:D8,2020-07-13 20:34:07.069525,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-74,3.0
15,DC:A6:32:55:FC:D8,2020-07-13 20:34:08.669619,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-92,3.0
