SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI,DISTANCE
0,DC:A6:32:55:FC:D8,2020-07-12 22:08:24.410636,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-70,1.5
1,DC:A6:32:55:FC:D8,2020-07-12 22:08:25.419691,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-70,1.5
2,DC:A6:32:55:FC:D8,2020-07-12 22:08:27.424849,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-69,1.5
3,DC:A6:32:55:FC:D8,2020-07-12 22:08:29.429853,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-70,1.5
4,DC:A6:32:55:FC:D8,2020-07-12 22:08:31.434939,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-68,1.5
5,DC:A6:32:55:FC:D8,2020-07-12 22:08:33.440006,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-70,1.5
6,DC:A6:32:55:FC:D8,2020-07-12 22:08:35.205027,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-68,1.5
7,DC:A6:32:55:FC:D8,2020-07-12 22:08:37.210041,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-69,1.5
8,DC:A6:32:55:FC:D8,2020-07-12 22:08:39.215125,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-69,1.5
9,DC:A6:32:55:FC:D8,2020-07-12 22:08:41.220216,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-67,1.5
10,DC:A6:32:55:FC:D8,2020-07-12 22:08:43.225246,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-67,1.5
11,DC:A6:32:55:FC:D8,2020-07-12 22:08:44.110890,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-71,1.5
12,DC:A6:32:55:FC:D8,2020-07-12 22:08:46.116612,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-71,1.5
13,DC:A6:32:55:FC:D8,2020-07-12 22:08:47.169048,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-71,1.5
14,DC:A6:32:55:FC:D8,2020-07-12 22:08:49.174219,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-76,1.5
15,DC:A6:32:55:FC:D8,2020-07-12 22:08:51.179282,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-70,1.5
16,DC:A6:32:55:FC:D8,2020-07-12 22:08:53.184279,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-70,1.5
17,DC:A6:32:55:FC:D8,2020-07-12 22:08:55.189351,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-71,1.5
18,DC:A6:32:55:FC:D8,2020-07-12 22:08:57.194356,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-68,1.5
19,DC:A6:32:55:FC:D8,2020-07-12 22:08:59.199450,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-68,1.5
20,DC:A6:32:55:FC:D8,2020-07-12 22:09:00.220729,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-68,1.5
21,DC:A6:32:55:FC:D8,2020-07-12 22:09:02.225853,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-67,1.5
22,DC:A6:32:55:FC:D8,2020-07-12 22:09:04.230821,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-70,1.5
23,DC:A6:32:55:FC:D8,2020-07-12 22:09:05.195930,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-70,1.5
24,DC:A6:32:55:FC:D8,2020-07-12 22:09:07.200925,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-67,1.5
25,DC:A6:32:55:FC:D8,2020-07-12 22:09:09.206031,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-67,1.5
26,DC:A6:32:55:FC:D8,2020-07-12 22:09:11.211070,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-69,1.5
27,DC:A6:32:55:FC:D8,2020-07-12 22:09:12.676073,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-70,1.5
28,DC:A6:32:55:FC:D8,2020-07-12 22:09:14.681117,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-68,1.5
29,DC:A6:32:55:FC:D8,2020-07-12 22:09:15.221124,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-69,1.5
30,DC:A6:32:55:FC:D8,2020-07-12 22:09:17.226341,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-67,1.5
31,DC:A6:32:55:FC:D8,2020-07-12 22:09:18.243647,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-67,1.5
32,DC:A6:32:55:FC:D8,2020-07-12 22:09:20.248806,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-71,1.5
33,DC:A6:32:55:FC:D8,2020-07-12 22:09:22.253816,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-70,1.5
34,DC:A6:32:55:FC:D8,2020-07-12 22:09:24.258864,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-67,1.5
