SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI,DISTANCE
0,DC:A6:32:55:FC:D8,2020-07-04 15:29:29.114492,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-39,0.25
1,DC:A6:32:55:FC:D8,2020-07-04 15:29:30.406379,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-36,0.25
2,DC:A6:32:55:FC:D8,2020-07-04 15:29:31.508900,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-36,0.25
3,DC:A6:32:55:FC:D8,2020-07-04 15:29:32.013766,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-35,0.25
4,DC:A6:32:55:FC:D8,2020-07-04 15:29:34.054437,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-39,0.25
5,DC:A6:32:55:FC:D8,2020-07-04 15:29:35.369463,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-31,0.25
6,DC:A6:32:55:FC:D8,2020-07-04 15:29:36.023746,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-33,0.25
7,DC:A6:32:55:FC:D8,2020-07-04 15:29:37.051828,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-35,0.25
8,DC:A6:32:55:FC:D8,2020-07-04 15:29:38.218805,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-35,0.25
9,DC:A6:32:55:FC:D8,2020-07-04 15:29:39.057359,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-31,0.25
10,DC:A6:32:55:FC:D8,2020-07-04 15:29:40.702624,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-35,0.25
11,DC:A6:32:55:FC:D8,2020-07-04 15:29:41.077525,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-33,0.25
12,DC:A6:32:55:FC:D8,2020-07-04 15:29:43.082486,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-35,0.25
13,DC:A6:32:55:FC:D8,2020-07-04 15:29:44.278257,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-36,0.25
14,DC:A6:32:55:FC:D8,2020-07-04 15:29:45.253907,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-38,0.25
15,DC:A6:32:55:FC:D8,2020-07-04 15:29:47.258985,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-30,0.25
16,DC:A6:32:55:FC:D8,2020-07-04 15:29:48.058825,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-36,0.25
17,DC:A6:32:55:FC:D8,2020-07-04 15:29:49.111406,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-35,0.25
18,DC:A6:32:55:FC:D8,2020-07-04 15:29:50.215245,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-38,0.25
19,DC:A6:32:55:FC:D8,2020-07-04 15:29:52.219530,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-35,0.25
20,DC:A6:32:55:FC:D8,2020-07-04 15:29:53.869001,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-31,0.25
21,DC:A6:32:55:FC:D8,2020-07-04 15:29:54.043917,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-35,0.25
22,DC:A6:32:55:FC:D8,2020-07-04 15:29:55.256483,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-38,0.25
23,DC:A6:32:55:FC:D8,2020-07-04 15:29:56.145172,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-34,0.25
24,DC:A6:32:55:FC:D8,2020-07-04 15:29:57.148919,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-41,0.25
25,DC:A6:32:55:FC:D8,2020-07-04 15:29:59.040959,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-35,0.25
26,DC:A6:32:55:FC:D8,2020-07-04 15:30:00.594032,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-33,0.25
27,DC:A6:32:55:FC:D8,2020-07-04 15:30:01.062817,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-35,0.25
28,DC:A6:32:55:FC:D8,2020-07-04 15:30:02.169960,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-38,0.25
29,DC:A6:32:55:FC:D8,2020-07-04 15:30:04.021387,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-31,0.25
30,DC:A6:32:55:FC:D8,2020-07-04 15:30:05.037794,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-36,0.25
31,DC:A6:32:55:FC:D8,2020-07-04 15:30:06.562734,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-35,0.25
32,DC:A6:32:55:FC:D8,2020-07-04 15:30:07.047027,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-38,0.25
33,DC:A6:32:55:FC:D8,2020-07-04 15:30:08.225238,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-35,0.25
34,DC:A6:32:55:FC:D8,2020-07-04 15:30:09.059676,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-33,0.25
35,DC:A6:32:55:FC:D8,2020-07-04 15:30:10.186557,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-35,0.25
36,DC:A6:32:55:FC:D8,2020-07-04 15:30:11.209015,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-35,0.25
37,DC:A6:32:55:FC:D8,2020-07-04 15:30:12.280200,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-35,0.25
38,DC:A6:32:55:FC:D8,2020-07-04 15:30:14.285357,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-38,0.25
39,DC:A6:32:55:FC:D8,2020-07-04 15:30:15.569693,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-36,0.25
40,DC:A6:32:55:FC:D8,2020-07-04 15:30:16.097760,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-31,0.25
41,DC:A6:32:55:FC:D8,2020-07-04 15:30:17.239624,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-35,0.25
42,DC:A6:32:55:FC:D8,2020-07-04 15:30:18.616495,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-30,0.25
43,DC:A6:32:55:FC:D8,2020-07-04 15:30:19.139074,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-33,0.25
44,DC:A6:32:55:FC:D8,2020-07-04 15:30:20.599143,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-30,0.25
45,DC:A6:32:55:FC:D8,2020-07-04 15:30:21.139023,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-36,0.25
46,DC:A6:32:55:FC:D8,2020-07-04 15:30:23.027818,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-33,0.25
47,DC:A6:32:55:FC:D8,2020-07-04 15:30:24.405371,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-35,0.25
48,DC:A6:32:55:FC:D8,2020-07-04 15:30:25.571709,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-35,0.25
49,DC:A6:32:55:FC:D8,2020-07-04 15:30:26.075383,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-38,0.25
50,DC:A6:32:55:FC:D8,2020-07-04 15:30:27.419071,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-35,0.25
51,DC:A6:32:55:FC:D8,2020-07-04 15:30:28.490319,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-35,0.25
52,DC:A6:32:55:FC:D8,2020-07-04 15:30:29.109172,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-33,0.25
