SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI,DISTANCE
0,DC:A6:32:55:FC:D8,2020-07-04 15:36:32.271790,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-68,1.0
1,DC:A6:32:55:FC:D8,2020-07-04 15:36:33.020594,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-69,1.0
2,DC:A6:32:55:FC:D8,2020-07-04 15:36:34.417478,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-68,1.0
3,DC:A6:32:55:FC:D8,2020-07-04 15:36:35.073194,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-68,1.0
4,DC:A6:32:55:FC:D8,2020-07-04 15:36:36.213678,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-68,1.0
5,DC:A6:32:55:FC:D8,2020-07-04 15:36:37.142380,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-70,1.0
6,DC:A6:32:55:FC:D8,2020-07-04 15:36:38.800571,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-70,1.0
7,DC:A6:32:55:FC:D8,2020-07-04 15:36:39.003020,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-68,1.0
8,DC:A6:32:55:FC:D8,2020-07-04 15:36:41.008217,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-61,1.0
9,DC:A6:32:55:FC:D8,2020-07-04 15:36:42.049341,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-60,1.0
10,DC:A6:32:55:FC:D8,2020-07-04 15:36:43.120570,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-71,1.0
11,DC:A6:32:55:FC:D8,2020-07-04 15:36:44.495009,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-70,1.0
12,DC:A6:32:55:FC:D8,2020-07-04 15:36:45.328218,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-70,1.0
13,DC:A6:32:55:FC:D8,2020-07-04 15:36:46.279509,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-68,1.0
14,DC:A6:32:55:FC:D8,2020-07-04 15:36:47.088180,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-61,1.0
15,DC:A6:32:55:FC:D8,2020-07-04 15:36:49.093216,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-68,1.0
16,DC:A6:32:55:FC:D8,2020-07-04 15:36:50.289549,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-70,1.0
17,DC:A6:32:55:FC:D8,2020-07-04 15:36:51.695766,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-70,1.0
18,DC:A6:32:55:FC:D8,2020-07-04 15:36:52.020652,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-70,1.0
