SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI,DISTANCE
0,DC:A6:32:55:FC:D8,2020-07-12 22:52:57.307458,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-81,2.5
1,DC:A6:32:55:FC:D8,2020-07-12 22:52:59.311458,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-89,2.5
2,DC:A6:32:55:FC:D8,2020-07-12 22:53:01.317043,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-91,2.5
3,DC:A6:32:55:FC:D8,2020-07-12 22:53:02.170115,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-89,2.5
4,DC:A6:32:55:FC:D8,2020-07-12 22:53:04.175770,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-86,2.5
5,DC:A6:32:55:FC:D8,2020-07-12 22:53:06.180743,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-81,2.5
6,DC:A6:32:55:FC:D8,2020-07-12 22:53:07.041434,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-81,2.5
7,DC:A6:32:55:FC:D8,2020-07-12 22:53:09.046952,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-86,2.5
8,DC:A6:32:55:FC:D8,2020-07-12 22:53:11.052063,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-86,2.5
9,DC:A6:32:55:FC:D8,2020-07-12 22:53:12.148302,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-82,2.5
10,DC:A6:32:55:FC:D8,2020-07-12 22:53:14.153193,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-85,2.5
11,DC:A6:32:55:FC:D8,2020-07-12 22:53:15.155692,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-90,2.5
12,DC:A6:32:55:FC:D8,2020-07-12 22:53:16.515820,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-83,2.5
13,DC:A6:32:55:FC:D8,2020-07-12 22:53:17.014607,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-81,2.5
14,DC:A6:32:55:FC:D8,2020-07-12 22:53:18.145783,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-93,2.5
15,DC:A6:32:55:FC:D8,2020-07-12 22:53:19.366998,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-85,2.5
16,DC:A6:32:55:FC:D8,2020-07-12 22:53:20.147029,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-81,2.5
17,DC:A6:32:55:FC:D8,2020-07-12 22:53:21.081953,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-84,2.5
18,DC:A6:32:55:FC:D8,2020-07-12 22:53:23.087119,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-79,2.5
19,DC:A6:32:55:FC:D8,2020-07-12 22:53:24.125802,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-80,2.5
20,DC:A6:32:55:FC:D8,2020-07-12 22:53:25.758333,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-85,2.5
21,DC:A6:32:55:FC:D8,2020-07-12 22:53:26.008217,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-84,2.5
22,DC:A6:32:55:FC:D8,2020-07-12 22:53:27.127116,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-79,2.5
23,DC:A6:32:55:FC:D8,2020-07-12 22:53:28.200756,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-82,2.5
24,DC:A6:32:55:FC:D8,2020-07-12 22:53:29.035775,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-82,2.5
25,DC:A6:32:55:FC:D8,2020-07-12 22:53:30.335213,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-80,2.5
26,DC:A6:32:55:FC:D8,2020-07-12 22:53:32.339683,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-79,2.5
27,DC:A6:32:55:FC:D8,2020-07-12 22:53:34.344706,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-81,2.5
28,DC:A6:32:55:FC:D8,2020-07-12 22:53:35.255879,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-80,2.5
29,DC:A6:32:55:FC:D8,2020-07-12 22:53:36.614040,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-79,2.5
30,DC:A6:32:55:FC:D8,2020-07-12 22:53:37.110309,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-80,2.5
31,DC:A6:32:55:FC:D8,2020-07-12 22:53:38.121558,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-79,2.5
32,DC:A6:32:55:FC:D8,2020-07-12 22:53:40.125987,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-80,2.5
33,DC:A6:32:55:FC:D8,2020-07-12 22:53:41.079666,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-85,2.5
34,DC:A6:32:55:FC:D8,2020-07-12 22:53:42.148500,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-87,2.5
35,DC:A6:32:55:FC:D8,2020-07-12 22:53:44.153532,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-80,2.5
36,DC:A6:32:55:FC:D8,2020-07-12 22:53:45.067196,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-77,2.5
37,DC:A6:32:55:FC:D8,2020-07-12 22:53:46.215959,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-79,2.5
38,DC:A6:32:55:FC:D8,2020-07-12 22:53:47.488518,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-81,2.5
39,DC:A6:32:55:FC:D8,2020-07-12 22:53:48.039654,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-76,2.5
40,DC:A6:32:55:FC:D8,2020-07-12 22:53:49.108472,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-77,2.5
41,DC:A6:32:55:FC:D8,2020-07-12 22:53:51.007284,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-79,2.5
42,DC:A6:32:55:FC:D8,2020-07-12 22:53:52.636059,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-87,2.5
43,DC:A6:32:55:FC:D8,2020-07-12 22:53:53.085928,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-79,2.5
44,DC:A6:32:55:FC:D8,2020-07-12 22:53:54.265996,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-80,2.5
45,DC:A6:32:55:FC:D8,2020-07-12 22:53:55.354777,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-82,2.5
46,DC:A6:32:55:FC:D8,2020-07-12 22:53:56.239854,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-83,2.5
