SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI,DISTANCE
0,DC:A6:32:55:FC:D8,2020-07-12 22:29:03.201717,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-76,4.0
1,DC:A6:32:55:FC:D8,2020-07-12 22:29:04.479848,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-75,4.0
2,DC:A6:32:55:FC:D8,2020-07-12 22:29:06.484889,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-81,4.0
3,DC:A6:32:55:FC:D8,2020-07-12 22:29:07.019755,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-74,4.0
4,DC:A6:32:55:FC:D8,2020-07-12 22:29:09.024911,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-74,4.0
5,DC:A6:32:55:FC:D8,2020-07-12 22:29:11.030005,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-82,4.0
6,DC:A6:32:55:FC:D8,2020-07-12 22:29:13.034979,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-75,4.0
7,DC:A6:32:55:FC:D8,2020-07-12 22:29:14.400033,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-79,4.0
8,DC:A6:32:55:FC:D8,2020-07-12 22:29:16.405128,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-75,4.0
9,DC:A6:32:55:FC:D8,2020-07-12 22:29:17.113897,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-74,4.0
10,DC:A6:32:55:FC:D8,2020-07-12 22:29:18.123825,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-79,4.0
11,DC:A6:32:55:FC:D8,2020-07-12 22:29:20.128914,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-74,4.0
12,DC:A6:32:55:FC:D8,2020-07-12 22:29:22.134045,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-74,4.0
13,DC:A6:32:55:FC:D8,2020-07-12 22:29:23.164021,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-80,4.0
14,DC:A6:32:55:FC:D8,2020-07-12 22:29:24.470261,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-74,4.0
15,DC:A6:32:55:FC:D8,2020-07-12 22:29:25.032755,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-80,4.0
16,DC:A6:32:55:FC:D8,2020-07-12 22:29:27.037942,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-76,4.0
17,DC:A6:32:55:FC:D8,2020-07-12 22:29:29.042953,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-84,4.0
18,DC:A6:32:55:FC:D8,2020-07-12 22:29:30.115390,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-75,4.0
19,DC:A6:32:55:FC:D8,2020-07-12 22:29:32.120546,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-74,4.0
20,DC:A6:32:55:FC:D8,2020-07-12 22:29:33.155420,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-79,4.0
21,DC:A6:32:55:FC:D8,2020-07-12 22:29:35.160544,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-74,4.0
22,DC:A6:32:55:FC:D8,2020-07-12 22:29:37.165705,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-75,4.0
23,DC:A6:32:55:FC:D8,2020-07-12 22:29:38.588782,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-74,4.0
24,DC:A6:32:55:FC:D8,2020-07-12 22:29:40.493271,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-75,4.0
25,DC:A6:32:55:FC:D8,2020-07-12 22:29:42.118937,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-75,4.0
26,DC:A6:32:55:FC:D8,2020-07-12 22:29:43.480851,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-80,4.0
27,DC:A6:32:55:FC:D8,2020-07-12 22:29:44.030840,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-81,4.0
28,DC:A6:32:55:FC:D8,2020-07-12 22:29:45.090881,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-78,4.0
29,DC:A6:32:55:FC:D8,2020-07-12 22:29:47.096009,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-76,4.0
30,DC:A6:32:55:FC:D8,2020-07-12 22:29:49.101101,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-76,4.0
31,DC:A6:32:55:FC:D8,2020-07-12 22:29:51.106143,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-75,4.0
32,DC:A6:32:55:FC:D8,2020-07-12 22:29:52.728570,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-75,4.0
33,DC:A6:32:55:FC:D8,2020-07-12 22:29:53.132225,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-80,4.0
34,DC:A6:32:55:FC:D8,2020-07-12 22:29:54.803666,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-76,4.0
35,DC:A6:32:55:FC:D8,2020-07-12 22:29:55.004853,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-80,4.0
36,DC:A6:32:55:FC:D8,2020-07-12 22:29:57.009996,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-75,4.0
37,DC:A6:32:55:FC:D8,2020-07-12 22:29:59.015015,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-81,4.0
38,DC:A6:32:55:FC:D8,2020-07-12 22:30:00.506908,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-80,4.0
39,DC:A6:32:55:FC:D8,2020-07-12 22:30:01.016619,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-75,4.0
40,DC:A6:32:55:FC:D8,2020-07-12 22:30:02.661402,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-76,4.0
41,DC:A6:32:55:FC:D8,2020-07-12 22:30:03.097524,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-74,4.0
