SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI,DISTANCE
0,DC:A6:32:55:FC:D8,2020-07-12 18:17:15.036107,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-78,5.0
1,DC:A6:32:55:FC:D8,2020-07-12 18:17:16.618829,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-75,5.0
2,DC:A6:32:55:FC:D8,2020-07-12 18:17:17.245053,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-76,5.0
3,DC:A6:32:55:FC:D8,2020-07-12 18:17:18.076268,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-74,5.0
4,DC:A6:32:55:FC:D8,2020-07-12 18:17:20.081386,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-79,5.0
5,DC:A6:32:55:FC:D8,2020-07-12 18:17:21.638813,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-76,5.0
6,DC:A6:32:55:FC:D8,2020-07-12 18:17:22.031290,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-77,5.0
7,DC:A6:32:55:FC:D8,2020-07-12 18:17:24.036401,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-76,5.0
8,DC:A6:32:55:FC:D8,2020-07-12 18:17:25.290664,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-75,5.0
9,DC:A6:32:55:FC:D8,2020-07-12 18:17:27.295150,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-75,5.0
10,DC:A6:32:55:FC:D8,2020-07-12 18:17:28.307576,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-74,5.0
11,DC:A6:32:55:FC:D8,2020-07-12 18:17:29.017639,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-77,5.0
12,DC:A6:32:55:FC:D8,2020-07-12 18:17:30.155086,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-76,5.0
13,DC:A6:32:55:FC:D8,2020-07-12 18:17:31.406443,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-74,5.0
14,DC:A6:32:55:FC:D8,2020-07-12 18:17:32.713876,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-75,5.0
15,DC:A6:32:55:FC:D8,2020-07-12 18:17:33.005128,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-76,5.0
16,DC:A6:32:55:FC:D8,2020-07-12 18:17:34.257709,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-77,5.0
17,DC:A6:32:55:FC:D8,2020-07-12 18:17:35.178939,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-75,5.0
18,DC:A6:32:55:FC:D8,2020-07-12 18:17:37.183901,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-75,5.0
19,DC:A6:32:55:FC:D8,2020-07-12 18:17:39.189044,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-74,5.0
20,DC:A6:32:55:FC:D8,2020-07-12 18:17:41.193965,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-75,5.0
21,DC:A6:32:55:FC:D8,2020-07-12 18:17:43.198983,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-75,5.0
22,DC:A6:32:55:FC:D8,2020-07-12 18:17:45.204090,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-78,5.0
23,DC:A6:32:55:FC:D8,2020-07-12 18:17:46.395210,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-76,5.0
24,DC:A6:32:55:FC:D8,2020-07-12 18:17:47.026430,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-75,5.0
25,DC:A6:32:55:FC:D8,2020-07-12 18:17:49.031658,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-78,5.0
26,DC:A6:32:55:FC:D8,2020-07-12 18:17:50.319107,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-76,5.0
27,DC:A6:32:55:FC:D8,2020-07-12 18:17:51.694123,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-77,5.0
28,DC:A6:32:55:FC:D8,2020-07-12 18:17:52.008992,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-75,5.0
29,DC:A6:32:55:FC:D8,2020-07-12 18:17:53.472922,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-74,5.0
30,DC:A6:32:55:FC:D8,2020-07-12 18:17:54.018513,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-76,5.0
31,DC:A6:32:55:FC:D8,2020-07-12 18:17:56.024182,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-77,5.0
32,DC:A6:32:55:FC:D8,2020-07-12 18:17:57.245409,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-78,5.0
33,DC:A6:32:55:FC:D8,2020-07-12 18:17:58.917982,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-76,5.0
34,DC:A6:32:55:FC:D8,2020-07-12 18:17:59.040896,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-78,5.0
35,DC:A6:32:55:FC:D8,2020-07-12 18:18:01.045535,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-76,5.0
36,DC:A6:32:55:FC:D8,2020-07-12 18:18:02.264238,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-75,5.0
37,DC:A6:32:55:FC:D8,2020-07-12 18:18:03.094222,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-76,5.0
38,DC:A6:32:55:FC:D8,2020-07-12 18:18:05.099278,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-74,5.0
39,DC:A6:32:55:FC:D8,2020-07-12 18:18:07.085367,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-75,5.0
40,DC:A6:32:55:FC:D8,2020-07-12 18:18:08.873034,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-77,5.0
41,DC:A6:32:55:FC:D8,2020-07-12 18:18:09.029251,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-76,5.0
42,DC:A6:32:55:FC:D8,2020-07-12 18:18:10.555527,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-76,5.0
