SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI,DISTANCE
0,DC:A6:32:55:FC:D8,2020-07-12 17:41:57.368609,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-71,3.5
1,DC:A6:32:55:FC:D8,2020-07-12 17:41:58.662900,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-77,3.5
2,DC:A6:32:55:FC:D8,2020-07-12 17:41:59.922162,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-70,3.5
3,DC:A6:32:55:FC:D8,2020-07-12 17:42:00.097077,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-90,3.5
4,DC:A6:32:55:FC:D8,2020-07-12 17:42:01.808670,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-70,3.5
5,DC:A6:32:55:FC:D8,2020-07-12 17:42:02.019720,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-85,3.5
6,DC:A6:32:55:FC:D8,2020-07-12 17:42:04.024910,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-85,3.5
7,DC:A6:32:55:FC:D8,2020-07-12 17:42:06.029911,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-84,3.5
8,DC:A6:32:55:FC:D8,2020-07-12 17:42:08.034965,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-82,3.5
9,DC:A6:32:55:FC:D8,2020-07-12 17:42:10.040025,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-80,3.5
10,DC:A6:32:55:FC:D8,2020-07-12 17:42:12.044980,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-84,3.5
11,DC:A6:32:55:FC:D8,2020-07-12 17:42:14.050193,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-83,3.5
12,DC:A6:32:55:FC:D8,2020-07-12 17:42:16.055127,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-71,3.5
