SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI,DISTANCE
0,DC:A6:32:55:FC:D8,2020-07-10 14:59:53.251296,1b602a2e-c2dc-11ea-af31-dca63255fcd7,1,1,1,-63,1.5
1,DC:A6:32:55:FC:D8,2020-07-10 14:59:54.172811,1b602a2e-c2dc-11ea-af31-dca63255fcd7,1,1,1,-58,1.5
2,DC:A6:32:55:FC:D8,2020-07-10 14:59:55.657870,1b602a2e-c2dc-11ea-af31-dca63255fcd7,1,1,1,-59,1.5
3,DC:A6:32:55:FC:D8,2020-07-10 14:59:56.100320,1b602a2e-c2dc-11ea-af31-dca63255fcd7,1,1,1,-61,1.5
4,DC:A6:32:55:FC:D8,2020-07-10 14:59:58.105586,1b602a2e-c2dc-11ea-af31-dca63255fcd7,1,1,1,-60,1.5
5,DC:A6:32:55:FC:D8,2020-07-10 14:59:59.140558,1b602a2e-c2dc-11ea-af31-dca63255fcd7,1,1,1,-59,1.5
6,DC:A6:32:55:FC:D8,2020-07-10 15:00:00.150555,1b602a2e-c2dc-11ea-af31-dca63255fcd7,1,1,1,-58,1.5
7,DC:A6:32:55:FC:D8,2020-07-10 15:00:02.155739,1b602a2e-c2dc-11ea-af31-dca63255fcd7,1,1,1,-60,1.5
8,DC:A6:32:55:FC:D8,2020-07-10 15:00:03.160725,1b602a2e-c2dc-11ea-af31-dca63255fcd7,1,1,1,-66,1.5
9,DC:A6:32:55:FC:D8,2020-07-10 15:00:04.325708,1b602a2e-c2dc-11ea-af31-dca63255fcd7,1,1,1,-67,1.5
10,DC:A6:32:55:FC:D8,2020-07-10 15:00:05.185604,1b602a2e-c2dc-11ea-af31-dca63255fcd7,1,1,1,-67,1.5
11,DC:A6:32:55:FC:D8,2020-07-10 15:00:06.011864,1b602a2e-c2dc-11ea-af31-dca63255fcd7,1,1,1,-67,1.5
12,DC:A6:32:55:FC:D8,2020-07-10 15:00:07.391977,1b602a2e-c2dc-11ea-af31-dca63255fcd7,1,1,1,-59,1.5
13,DC:A6:32:55:FC:D8,2020-07-10 15:00:08.485811,1b602a2e-c2dc-11ea-af31-dca63255fcd7,1,1,1,-61,1.5
14,DC:A6:32:55:FC:D8,2020-07-10 15:00:09.253323,1b602a2e-c2dc-11ea-af31-dca63255fcd7,1,1,1,-60,1.5
15,DC:A6:32:55:FC:D8,2020-07-10 15:00:10.057567,1b602a2e-c2dc-11ea-af31-dca63255fcd7,1,1,1,-61,1.5
16,DC:A6:32:55:FC:D8,2020-07-10 15:00:11.073849,1b602a2e-c2dc-11ea-af31-dca63255fcd7,1,1,1,-66,1.5
17,DC:A6:32:55:FC:D8,2020-07-10 15:00:12.350903,1b602a2e-c2dc-11ea-af31-dca63255fcd7,1,1,1,-61,1.5
18,DC:A6:32:55:FC:D8,2020-07-10 15:00:13.152142,1b602a2e-c2dc-11ea-af31-dca63255fcd7,1,1,1,-61,1.5
19,DC:A6:32:55:FC:D8,2020-07-10 15:00:14.254674,1b602a2e-c2dc-11ea-af31-dca63255fcd7,1,1,1,-59,1.5
20,DC:A6:32:55:FC:D8,2020-07-10 15:00:15.233403,1b602a2e-c2dc-11ea-af31-dca63255fcd7,1,1,1,-60,1.5
21,DC:A6:32:55:FC:D8,2020-07-10 15:00:17.238568,1b602a2e-c2dc-11ea-af31-dca63255fcd7,1,1,1,-58,1.5
22,DC:A6:32:55:FC:D8,2020-07-10 15:00:18.496723,1b602a2e-c2dc-11ea-af31-dca63255fcd7,1,1,1,-66,1.5
23,DC:A6:32:55:FC:D8,2020-07-10 15:00:19.325969,1b602a2e-c2dc-11ea-af31-dca63255fcd7,1,1,1,-59,1.5
24,DC:A6:32:55:FC:D8,2020-07-10 15:00:20.032281,1b602a2e-c2dc-11ea-af31-dca63255fcd7,1,1,1,-58,1.5
25,DC:A6:32:55:FC:D8,2020-07-10 15:00:22.036700,1b602a2e-c2dc-11ea-af31-dca63255fcd7,1,1,1,-65,1.5
26,DC:A6:32:55:FC:D8,2020-07-10 15:00:24.003744,1b602a2e-c2dc-11ea-af31-dca63255fcd7,1,1,1,-58,1.5
27,DC:A6:32:55:FC:D8,2020-07-10 15:00:25.101188,1b602a2e-c2dc-11ea-af31-dca63255fcd7,1,1,1,-66,1.5
28,DC:A6:32:55:FC:D8,2020-07-10 15:00:26.199924,1b602a2e-c2dc-11ea-af31-dca63255fcd7,1,1,1,-61,1.5
29,DC:A6:32:55:FC:D8,2020-07-10 15:00:27.032408,1b602a2e-c2dc-11ea-af31-dca63255fcd7,1,1,1,-57,1.5
30,DC:A6:32:55:FC:D8,2020-07-10 15:00:29.037671,1b602a2e-c2dc-11ea-af31-dca63255fcd7,1,1,1,-65,1.5
31,DC:A6:32:55:FC:D8,2020-07-10 15:00:30.351383,1b602a2e-c2dc-11ea-af31-dca63255fcd7,1,1,1,-59,1.5
32,DC:A6:32:55:FC:D8,2020-07-10 15:00:31.050020,1b602a2e-c2dc-11ea-af31-dca63255fcd7,1,1,1,-58,1.5
33,DC:A6:32:55:FC:D8,2020-07-10 15:00:33.055207,1b602a2e-c2dc-11ea-af31-dca63255fcd7,1,1,1,-58,1.5
34,DC:A6:32:55:FC:D8,2020-07-10 15:00:34.106524,1b602a2e-c2dc-11ea-af31-dca63255fcd7,1,1,1,-65,1.5
35,DC:A6:32:55:FC:D8,2020-07-10 15:00:35.115240,1b602a2e-c2dc-11ea-af31-dca63255fcd7,1,1,1,-60,1.5
