SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI,DISTANCE
0,DC:A6:32:55:FC:D8,2020-07-13 20:00:05.556369,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-86,2.5
1,DC:A6:32:55:FC:D8,2020-07-13 20:00:06.440117,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-87,2.5
2,DC:A6:32:55:FC:D8,2020-07-13 20:00:08.110192,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-84,2.5
3,DC:A6:32:55:FC:D8,2020-07-13 20:00:09.203877,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-82,2.5
4,DC:A6:32:55:FC:D8,2020-07-13 20:00:11.209094,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-81,2.5
5,DC:A6:32:55:FC:D8,2020-07-13 20:00:12.405773,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-78,2.5
6,DC:A6:32:55:FC:D8,2020-07-13 20:00:14.031347,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-81,2.5
7,DC:A6:32:55:FC:D8,2020-07-13 20:00:16.036588,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-79,2.5
8,DC:A6:32:55:FC:D8,2020-07-13 20:00:18.041528,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-81,2.5
9,DC:A6:32:55:FC:D8,2020-07-13 20:00:20.046490,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-83,2.5
10,DC:A6:32:55:FC:D8,2020-07-13 20:00:22.051661,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-84,2.5
11,DC:A6:32:55:FC:D8,2020-07-13 20:00:23.510314,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-83,2.5
12,DC:A6:32:55:FC:D8,2020-07-13 20:00:24.791483,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-80,2.5
13,DC:A6:32:55:FC:D8,2020-07-13 20:00:25.003928,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-79,2.5
14,DC:A6:32:55:FC:D8,2020-07-13 20:00:26.164720,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-81,2.5
15,DC:A6:32:55:FC:D8,2020-07-13 20:00:27.421488,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-79,2.5
16,DC:A6:32:55:FC:D8,2020-07-13 20:00:28.101453,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-80,2.5
17,DC:A6:32:55:FC:D8,2020-07-13 20:00:29.046527,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-79,2.5
18,DC:A6:32:55:FC:D8,2020-07-13 20:00:30.716688,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-72,2.5
19,DC:A6:32:55:FC:D8,2020-07-13 20:00:31.071502,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-74,2.5
20,DC:A6:32:55:FC:D8,2020-07-13 20:00:33.076650,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-74,2.5
