SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI,DISTANCE
0,DC:A6:32:55:FC:D8,2020-07-12 20:31:11.366288,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-75,2.5
1,DC:A6:32:55:FC:D8,2020-07-12 20:31:13.370705,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-75,2.5
2,DC:A6:32:55:FC:D8,2020-07-12 20:31:15.381988,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-68,2.5
3,DC:A6:32:55:FC:D8,2020-07-12 20:31:16.142533,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-68,2.5
4,DC:A6:32:55:FC:D8,2020-07-12 20:31:17.592901,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-67,2.5
5,DC:A6:32:55:FC:D8,2020-07-12 20:31:18.134265,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-64,2.5
6,DC:A6:32:55:FC:D8,2020-07-12 20:31:19.724707,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-75,2.5
7,DC:A6:32:55:FC:D8,2020-07-12 20:31:20.045531,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-67,2.5
8,DC:A6:32:55:FC:D8,2020-07-12 20:31:22.050801,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-76,2.5
9,DC:A6:32:55:FC:D8,2020-07-12 20:31:24.056725,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-68,2.5
10,DC:A6:32:55:FC:D8,2020-07-12 20:31:26.061367,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-65,2.5
11,DC:A6:32:55:FC:D8,2020-07-12 20:31:27.733479,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-76,2.5
12,DC:A6:32:55:FC:D8,2020-07-12 20:31:28.009258,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-79,2.5
13,DC:A6:32:55:FC:D8,2020-07-12 20:31:30.014729,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-68,2.5
14,DC:A6:32:55:FC:D8,2020-07-12 20:31:32.020036,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-76,2.5
15,DC:A6:32:55:FC:D8,2020-07-12 20:31:34.025027,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-64,2.5
16,DC:A6:32:55:FC:D8,2020-07-12 20:31:35.018023,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-77,2.5
17,DC:A6:32:55:FC:D8,2020-07-12 20:31:37.022887,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-77,2.5
18,DC:A6:32:55:FC:D8,2020-07-12 20:31:39.032351,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-78,2.5
19,DC:A6:32:55:FC:D8,2020-07-12 20:31:40.338875,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-75,2.5
20,DC:A6:32:55:FC:D8,2020-07-12 20:31:41.686756,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-64,2.5
21,DC:A6:32:55:FC:D8,2020-07-12 20:31:42.081183,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-65,2.5
22,DC:A6:32:55:FC:D8,2020-07-12 20:31:44.089928,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-65,2.5
23,DC:A6:32:55:FC:D8,2020-07-12 20:31:45.489906,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-66,2.5
24,DC:A6:32:55:FC:D8,2020-07-12 20:31:46.212206,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-68,2.5
25,DC:A6:32:55:FC:D8,2020-07-12 20:31:47.562286,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-68,2.5
26,DC:A6:32:55:FC:D8,2020-07-12 20:31:49.571507,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-66,2.5
27,DC:A6:32:55:FC:D8,2020-07-12 20:31:50.073689,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-65,2.5
28,DC:A6:32:55:FC:D8,2020-07-12 20:31:52.078895,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-65,2.5
29,DC:A6:32:55:FC:D8,2020-07-12 20:31:54.083810,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-77,2.5
30,DC:A6:32:55:FC:D8,2020-07-12 20:31:56.088758,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-68,2.5
31,DC:A6:32:55:FC:D8,2020-07-12 20:31:58.093600,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-77,2.5
32,DC:A6:32:55:FC:D8,2020-07-12 20:32:00.099524,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-65,2.5
33,DC:A6:32:55:FC:D8,2020-07-12 20:32:02.104297,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-65,2.5
34,DC:A6:32:55:FC:D8,2020-07-12 20:32:03.347362,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-68,2.5
35,DC:A6:32:55:FC:D8,2020-07-12 20:32:04.081243,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-66,2.5
36,DC:A6:32:55:FC:D8,2020-07-12 20:32:06.040624,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-67,2.5
37,DC:A6:32:55:FC:D8,2020-07-12 20:32:08.045315,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-66,2.5
38,DC:A6:32:55:FC:D8,2020-07-12 20:32:09.893259,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-68,2.5
