SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:55:FC:D8,2020-07-04 15:50:04.733492,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-70
1,DC:A6:32:55:FC:D8,2020-07-04 15:50:05.323221,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-72
2,DC:A6:32:55:FC:D8,2020-07-04 15:50:07.205949,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-68
3,DC:A6:32:55:FC:D8,2020-07-04 15:50:08.352123,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-67
4,DC:A6:32:55:FC:D8,2020-07-04 15:50:09.698233,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-71
5,DC:A6:32:55:FC:D8,2020-07-04 15:50:10.099385,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-66
6,DC:A6:32:55:FC:D8,2020-07-04 15:50:11.002582,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-70
7,DC:A6:32:55:FC:D8,2020-07-04 15:50:13.007839,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-65
8,DC:A6:32:55:FC:D8,2020-07-04 15:50:15.012125,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-68
9,DC:A6:32:55:FC:D8,2020-07-04 15:50:17.017458,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-66
10,DC:A6:32:55:FC:D8,2020-07-04 15:50:18.471962,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-66
11,DC:A6:32:55:FC:D8,2020-07-04 15:50:20.477601,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-71
12,DC:A6:32:55:FC:D8,2020-07-04 15:50:21.309730,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-73
13,DC:A6:32:55:FC:D8,2020-07-04 15:50:22.078207,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-69
14,DC:A6:32:55:FC:D8,2020-07-04 15:50:23.418480,a91197b8-be2c-11ea-8038-dca63255fcd7,1,1,1,-66
