SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:55:FC:D8,2020-07-13 19:36:05.009974,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-89
1,DC:A6:32:55:FC:D8,2020-07-13 19:36:06.111682,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-73
2,DC:A6:32:55:FC:D8,2020-07-13 19:36:08.116681,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-73
3,DC:A6:32:55:FC:D8,2020-07-13 19:36:09.141623,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-70
4,DC:A6:32:55:FC:D8,2020-07-13 19:36:10.140486,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-83
5,DC:A6:32:55:FC:D8,2020-07-13 19:36:11.501625,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-69
6,DC:A6:32:55:FC:D8,2020-07-13 19:36:12.320338,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-71
7,DC:A6:32:55:FC:D8,2020-07-13 19:36:14.325556,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-69
8,DC:A6:32:55:FC:D8,2020-07-13 19:36:15.851835,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-69
9,DC:A6:32:55:FC:D8,2020-07-13 19:36:16.017253,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-67
10,DC:A6:32:55:FC:D8,2020-07-13 19:36:18.021797,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-68
11,DC:A6:32:55:FC:D8,2020-07-13 19:36:20.026295,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-80
12,DC:A6:32:55:FC:D8,2020-07-13 19:36:21.820555,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-68
13,DC:A6:32:55:FC:D8,2020-07-13 19:36:22.041726,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-67
14,DC:A6:32:55:FC:D8,2020-07-13 19:36:24.046898,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-70
15,DC:A6:32:55:FC:D8,2020-07-13 19:36:25.115714,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-79
16,DC:A6:32:55:FC:D8,2020-07-13 19:36:27.120754,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-78
17,DC:A6:32:55:FC:D8,2020-07-13 19:36:29.125678,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-69
18,DC:A6:32:55:FC:D8,2020-07-13 19:36:30.203341,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-79
19,DC:A6:32:55:FC:D8,2020-07-13 19:36:32.069399,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-81
20,DC:A6:32:55:FC:D8,2020-07-13 19:36:34.075494,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-70
21,DC:A6:32:55:FC:D8,2020-07-13 19:36:36.080462,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-68
22,DC:A6:32:55:FC:D8,2020-07-13 19:36:38.085336,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-68
23,DC:A6:32:55:FC:D8,2020-07-13 19:36:39.220206,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-68
24,DC:A6:32:55:FC:D8,2020-07-13 19:36:40.117756,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-68
25,DC:A6:32:55:FC:D8,2020-07-13 19:36:41.130025,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-68
26,DC:A6:32:55:FC:D8,2020-07-13 19:36:43.134985,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-81
27,DC:A6:32:55:FC:D8,2020-07-13 19:36:44.119894,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-66
28,DC:A6:32:55:FC:D8,2020-07-13 19:36:46.124939,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-67
29,DC:A6:32:55:FC:D8,2020-07-13 19:36:48.129682,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-65
30,DC:A6:32:55:FC:D8,2020-07-13 19:36:50.134740,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-65
31,DC:A6:32:55:FC:D8,2020-07-13 19:36:52.139584,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-72
32,DC:A6:32:55:FC:D8,2020-07-13 19:36:53.353214,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-67
33,DC:A6:32:55:FC:D8,2020-07-13 19:36:55.004438,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-66
34,DC:A6:32:55:FC:D8,2020-07-13 19:36:57.009375,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-74
35,DC:A6:32:55:FC:D8,2020-07-13 19:36:58.254999,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-85
36,DC:A6:32:55:FC:D8,2020-07-13 19:37:00.141957,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-66
37,DC:A6:32:55:FC:D8,2020-07-13 19:37:01.451824,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-65
38,DC:A6:32:55:FC:D8,2020-07-13 19:37:02.939301,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-66
39,DC:A6:32:55:FC:D8,2020-07-13 19:37:03.012911,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-74
