SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:55:FC:D8,2020-07-12 20:51:50.343616,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-71
1,DC:A6:32:55:FC:D8,2020-07-12 20:51:51.228528,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-70
2,DC:A6:32:55:FC:D8,2020-07-12 20:51:53.233798,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-77
3,DC:A6:32:55:FC:D8,2020-07-12 20:51:54.128827,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-54
4,DC:A6:32:55:FC:D8,2020-07-12 20:51:56.134194,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-67
5,DC:A6:32:55:FC:D8,2020-07-12 20:51:58.138203,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-57
6,DC:A6:32:55:FC:D8,2020-07-12 20:51:59.806424,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-68
7,DC:A6:32:55:FC:D8,2020-07-12 20:52:00.159490,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-55
8,DC:A6:32:55:FC:D8,2020-07-12 20:52:01.587362,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-56
9,DC:A6:32:55:FC:D8,2020-07-12 20:52:02.595577,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-56
10,DC:A6:32:55:FC:D8,2020-07-12 20:52:03.359992,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-54
11,DC:A6:32:55:FC:D8,2020-07-12 20:52:04.748889,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-55
12,DC:A6:32:55:FC:D8,2020-07-12 20:52:05.028872,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-54
13,DC:A6:32:55:FC:D8,2020-07-12 20:52:07.034168,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-54
14,DC:A6:32:55:FC:D8,2020-07-12 20:52:08.411857,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-56
15,DC:A6:32:55:FC:D8,2020-07-12 20:52:09.154973,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-54
16,DC:A6:32:55:FC:D8,2020-07-12 20:52:11.159584,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-55
17,DC:A6:32:55:FC:D8,2020-07-12 20:52:12.248409,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-73
18,DC:A6:32:55:FC:D8,2020-07-12 20:52:13.262338,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-72
19,DC:A6:32:55:FC:D8,2020-07-12 20:52:14.006705,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-57
20,DC:A6:32:55:FC:D8,2020-07-12 20:52:15.132472,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-57
21,DC:A6:32:55:FC:D8,2020-07-12 20:52:17.137667,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-57
22,DC:A6:32:55:FC:D8,2020-07-12 20:52:18.230304,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-72
23,DC:A6:32:55:FC:D8,2020-07-12 20:52:20.235438,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-55
24,DC:A6:32:55:FC:D8,2020-07-12 20:52:22.240664,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-55
25,DC:A6:32:55:FC:D8,2020-07-12 20:52:24.245963,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-57
26,DC:A6:32:55:FC:D8,2020-07-12 20:52:26.250984,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-56
27,DC:A6:32:55:FC:D8,2020-07-12 20:52:28.256268,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-55
28,DC:A6:32:55:FC:D8,2020-07-12 20:52:29.513075,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-73
29,DC:A6:32:55:FC:D8,2020-07-12 20:52:30.051177,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-73
30,DC:A6:32:55:FC:D8,2020-07-12 20:52:32.056532,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-71
31,DC:A6:32:55:FC:D8,2020-07-12 20:52:33.247181,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-54
32,DC:A6:32:55:FC:D8,2020-07-12 20:52:34.115973,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-72
33,DC:A6:32:55:FC:D8,2020-07-12 20:52:35.630472,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-57
34,DC:A6:32:55:FC:D8,2020-07-12 20:52:36.024166,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-71
35,DC:A6:32:55:FC:D8,2020-07-12 20:52:38.029435,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-57
36,DC:A6:32:55:FC:D8,2020-07-12 20:52:40.034436,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-55
37,DC:A6:32:55:FC:D8,2020-07-12 20:52:42.039621,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-72
38,DC:A6:32:55:FC:D8,2020-07-12 20:52:44.044771,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-54
39,DC:A6:32:55:FC:D8,2020-07-12 20:52:46.049821,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-57
40,DC:A6:32:55:FC:D8,2020-07-12 20:52:47.317919,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-55
41,DC:A6:32:55:FC:D8,2020-07-12 20:52:48.132473,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-54
42,DC:A6:32:55:FC:D8,2020-07-12 20:52:50.137497,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-71
