SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:55:FC:D8,2020-07-13 19:53:22.069888,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-55
1,DC:A6:32:55:FC:D8,2020-07-13 19:53:23.145012,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-59
2,DC:A6:32:55:FC:D8,2020-07-13 19:53:25.150008,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-55
3,DC:A6:32:55:FC:D8,2020-07-13 19:53:27.155000,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-57
4,DC:A6:32:55:FC:D8,2020-07-13 19:53:29.159903,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-56
5,DC:A6:32:55:FC:D8,2020-07-13 19:53:31.165012,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-58
6,DC:A6:32:55:FC:D8,2020-07-13 19:53:33.170035,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-57
7,DC:A6:32:55:FC:D8,2020-07-13 19:53:35.175057,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-57
8,DC:A6:32:55:FC:D8,2020-07-13 19:53:36.046138,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-59
9,DC:A6:32:55:FC:D8,2020-07-13 19:53:38.051144,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-58
10,DC:A6:32:55:FC:D8,2020-07-13 19:53:40.056246,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-59
11,DC:A6:32:55:FC:D8,2020-07-13 19:53:41.009968,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-55
12,DC:A6:32:55:FC:D8,2020-07-13 19:53:43.013550,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-57
13,DC:A6:32:55:FC:D8,2020-07-13 19:53:44.594236,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-59
14,DC:A6:32:55:FC:D8,2020-07-13 19:53:45.343780,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-58
15,DC:A6:32:55:FC:D8,2020-07-13 19:53:47.348722,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-59
16,DC:A6:32:55:FC:D8,2020-07-13 19:53:49.353613,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-60
17,DC:A6:32:55:FC:D8,2020-07-13 19:53:50.103687,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-59
18,DC:A6:32:55:FC:D8,2020-07-13 19:53:51.744288,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-56
19,DC:A6:32:55:FC:D8,2020-07-13 19:53:52.007378,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-59
20,DC:A6:32:55:FC:D8,2020-07-13 19:53:54.012427,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-56
21,DC:A6:32:55:FC:D8,2020-07-13 19:53:56.017481,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-55
22,DC:A6:32:55:FC:D8,2020-07-13 19:53:58.022461,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-56
23,DC:A6:32:55:FC:D8,2020-07-13 19:53:59.192334,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-59
24,DC:A6:32:55:FC:D8,2020-07-13 19:54:00.004881,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-61
25,DC:A6:32:55:FC:D8,2020-07-13 19:54:02.010039,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-59
26,DC:A6:32:55:FC:D8,2020-07-13 19:54:04.014851,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-55
27,DC:A6:32:55:FC:D8,2020-07-13 19:54:06.020045,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-58
28,DC:A6:32:55:FC:D8,2020-07-13 19:54:07.714243,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-58
29,DC:A6:32:55:FC:D8,2020-07-13 19:54:08.043552,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-57
30,DC:A6:32:55:FC:D8,2020-07-13 19:54:09.133551,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-57
31,DC:A6:32:55:FC:D8,2020-07-13 19:54:11.138809,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-57
32,DC:A6:32:55:FC:D8,2020-07-13 19:54:12.391172,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-57
33,DC:A6:32:55:FC:D8,2020-07-13 19:54:14.396111,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-57
34,DC:A6:32:55:FC:D8,2020-07-13 19:54:15.089862,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-57
35,DC:A6:32:55:FC:D8,2020-07-13 19:54:16.063673,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-57
36,DC:A6:32:55:FC:D8,2020-07-13 19:54:17.029823,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-57
37,DC:A6:32:55:FC:D8,2020-07-13 19:54:19.034891,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-60
38,DC:A6:32:55:FC:D8,2020-07-13 19:54:20.108654,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-60
