SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:55:FC:D8,2020-07-12 20:24:17.532704,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-80
1,DC:A6:32:55:FC:D8,2020-07-12 20:24:18.096535,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-79
2,DC:A6:32:55:FC:D8,2020-07-12 20:24:19.193968,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-80
3,DC:A6:32:55:FC:D8,2020-07-12 20:24:20.826562,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-78
4,DC:A6:32:55:FC:D8,2020-07-12 20:24:21.017729,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-79
5,DC:A6:32:55:FC:D8,2020-07-12 20:24:23.022965,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-78
6,DC:A6:32:55:FC:D8,2020-07-12 20:24:24.212855,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-77
7,DC:A6:32:55:FC:D8,2020-07-12 20:24:25.446754,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-76
8,DC:A6:32:55:FC:D8,2020-07-12 20:24:26.262905,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-78
9,DC:A6:32:55:FC:D8,2020-07-12 20:24:27.069852,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-77
10,DC:A6:32:55:FC:D8,2020-07-12 20:24:29.074278,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-80
11,DC:A6:32:55:FC:D8,2020-07-12 20:24:30.473029,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-75
12,DC:A6:32:55:FC:D8,2020-07-12 20:24:31.407438,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-76
13,DC:A6:32:55:FC:D8,2020-07-12 20:24:33.413091,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-79
14,DC:A6:32:55:FC:D8,2020-07-12 20:24:35.417367,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-76
15,DC:A6:32:55:FC:D8,2020-07-12 20:24:36.125520,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-78
16,DC:A6:32:55:FC:D8,2020-07-12 20:24:37.045623,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-78
17,DC:A6:32:55:FC:D8,2020-07-12 20:24:38.085582,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-76
18,DC:A6:32:55:FC:D8,2020-07-12 20:24:40.090591,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-78
19,DC:A6:32:55:FC:D8,2020-07-12 20:24:42.095856,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-95
20,DC:A6:32:55:FC:D8,2020-07-12 20:24:44.100768,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-76
21,DC:A6:32:55:FC:D8,2020-07-12 20:24:45.561871,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-77
22,DC:A6:32:55:FC:D8,2020-07-12 20:24:46.091861,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-77
23,DC:A6:32:55:FC:D8,2020-07-12 20:24:48.097076,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-93
24,DC:A6:32:55:FC:D8,2020-07-12 20:24:49.043242,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-78
25,DC:A6:32:55:FC:D8,2020-07-12 20:24:50.291989,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-75
26,DC:A6:32:55:FC:D8,2020-07-12 20:24:51.054489,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-79
27,DC:A6:32:55:FC:D8,2020-07-12 20:24:52.157106,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-79
28,DC:A6:32:55:FC:D8,2020-07-12 20:24:54.004415,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-78
29,DC:A6:32:55:FC:D8,2020-07-12 20:24:56.009517,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-78
30,DC:A6:32:55:FC:D8,2020-07-12 20:24:57.242163,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-77
31,DC:A6:32:55:FC:D8,2020-07-12 20:24:59.247227,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-77
32,DC:A6:32:55:FC:D8,2020-07-12 20:25:01.252295,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-76
33,DC:A6:32:55:FC:D8,2020-07-12 20:25:02.400381,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-76
34,DC:A6:32:55:FC:D8,2020-07-12 20:25:03.057168,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-75
35,DC:A6:32:55:FC:D8,2020-07-12 20:25:04.027236,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-80
36,DC:A6:32:55:FC:D8,2020-07-12 20:25:06.032337,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-76
37,DC:A6:32:55:FC:D8,2020-07-12 20:25:07.342359,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-79
38,DC:A6:32:55:FC:D8,2020-07-12 20:25:09.347401,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-80
39,DC:A6:32:55:FC:D8,2020-07-12 20:25:10.152398,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-80
40,DC:A6:32:55:FC:D8,2020-07-12 20:25:11.267370,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-78
41,DC:A6:32:55:FC:D8,2020-07-12 20:25:13.272461,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-75
42,DC:A6:32:55:FC:D8,2020-07-12 20:25:15.277484,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-78
43,DC:A6:32:55:FC:D8,2020-07-12 20:25:17.282518,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-77
