SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:55:FC:D8,2020-07-12 18:21:07.722570,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-74
1,DC:A6:32:55:FC:D8,2020-07-12 18:21:08.015695,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-73
2,DC:A6:32:55:FC:D8,2020-07-12 18:21:09.046163,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-73
3,DC:A6:32:55:FC:D8,2020-07-12 18:21:11.051129,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-72
4,DC:A6:32:55:FC:D8,2020-07-12 18:21:13.038533,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-71
5,DC:A6:32:55:FC:D8,2020-07-12 18:21:15.043728,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-72
6,DC:A6:32:55:FC:D8,2020-07-12 18:21:16.207401,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-73
7,DC:A6:32:55:FC:D8,2020-07-12 18:21:18.212443,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-75
8,DC:A6:32:55:FC:D8,2020-07-12 18:21:20.217538,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-71
9,DC:A6:32:55:FC:D8,2020-07-12 18:21:21.306819,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-71
10,DC:A6:32:55:FC:D8,2020-07-12 18:21:22.226193,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-75
11,DC:A6:32:55:FC:D8,2020-07-12 18:21:23.277436,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-72
12,DC:A6:32:55:FC:D8,2020-07-12 18:21:24.253811,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-74
13,DC:A6:32:55:FC:D8,2020-07-12 18:21:25.691861,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-74
14,DC:A6:32:55:FC:D8,2020-07-12 18:21:26.260008,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-73
15,DC:A6:32:55:FC:D8,2020-07-12 18:21:27.041770,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-70
16,DC:A6:32:55:FC:D8,2020-07-12 18:21:28.088778,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-72
17,DC:A6:32:55:FC:D8,2020-07-12 18:21:30.093865,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-70
18,DC:A6:32:55:FC:D8,2020-07-12 18:21:31.560395,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-72
19,DC:A6:32:55:FC:D8,2020-07-12 18:21:32.007470,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-75
20,DC:A6:32:55:FC:D8,2020-07-12 18:21:33.186311,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-71
21,DC:A6:32:55:FC:D8,2020-07-12 18:21:34.650187,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-72
22,DC:A6:32:55:FC:D8,2020-07-12 18:21:35.431246,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-74
23,DC:A6:32:55:FC:D8,2020-07-12 18:21:36.104339,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-71
24,DC:A6:32:55:FC:D8,2020-07-12 18:21:37.364526,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-73
25,DC:A6:32:55:FC:D8,2020-07-12 18:21:38.241292,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-70
26,DC:A6:32:55:FC:D8,2020-07-12 18:21:39.261447,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-71
27,DC:A6:32:55:FC:D8,2020-07-12 18:21:41.266360,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-71
28,DC:A6:32:55:FC:D8,2020-07-12 18:21:42.191295,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-70
29,DC:A6:32:55:FC:D8,2020-07-12 18:21:43.301013,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-71
30,DC:A6:32:55:FC:D8,2020-07-12 18:21:45.306500,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-74
31,DC:A6:32:55:FC:D8,2020-07-12 18:21:46.121401,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-75
32,DC:A6:32:55:FC:D8,2020-07-12 18:21:48.025275,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-75
33,DC:A6:32:55:FC:D8,2020-07-12 18:21:49.006484,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-74
34,DC:A6:32:55:FC:D8,2020-07-12 18:21:50.287782,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-72
35,DC:A6:32:55:FC:D8,2020-07-12 18:21:51.013376,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-77
36,DC:A6:32:55:FC:D8,2020-07-12 18:21:52.106454,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-72
37,DC:A6:32:55:FC:D8,2020-07-12 18:21:53.564089,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-71
38,DC:A6:32:55:FC:D8,2020-07-12 18:21:54.216548,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-72
39,DC:A6:32:55:FC:D8,2020-07-12 18:21:55.237730,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-71
40,DC:A6:32:55:FC:D8,2020-07-12 18:21:56.146517,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-71
41,DC:A6:32:55:FC:D8,2020-07-12 18:21:58.151564,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-71
42,DC:A6:32:55:FC:D8,2020-07-12 18:21:59.076584,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-73
43,DC:A6:32:55:FC:D8,2020-07-12 18:22:01.081647,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-75
44,DC:A6:32:55:FC:D8,2020-07-12 18:22:03.061625,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-71
45,DC:A6:32:55:FC:D8,2020-07-12 18:22:04.282276,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-72
46,DC:A6:32:55:FC:D8,2020-07-12 18:22:05.779115,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-73
47,DC:A6:32:55:FC:D8,2020-07-12 18:22:06.054676,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-73
