SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:55:FC:D8,2020-07-12 17:14:25.238745,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-62
1,DC:A6:32:55:FC:D8,2020-07-12 17:14:27.244091,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-57
2,DC:A6:32:55:FC:D8,2020-07-12 17:14:28.702737,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-62
3,DC:A6:32:55:FC:D8,2020-07-12 17:14:29.330223,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-62
4,DC:A6:32:55:FC:D8,2020-07-12 17:14:30.695951,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-57
5,DC:A6:32:55:FC:D8,2020-07-12 17:14:31.150758,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-57
6,DC:A6:32:55:FC:D8,2020-07-12 17:14:33.155264,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-61
7,DC:A6:32:55:FC:D8,2020-07-12 17:14:35.160332,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-57
8,DC:A6:32:55:FC:D8,2020-07-12 17:14:37.165320,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-56
9,DC:A6:32:55:FC:D8,2020-07-12 17:14:39.170258,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-61
10,DC:A6:32:55:FC:D8,2020-07-12 17:14:40.115336,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-62
11,DC:A6:32:55:FC:D8,2020-07-12 17:14:42.120321,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-57
12,DC:A6:32:55:FC:D8,2020-07-12 17:14:44.125330,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-61
13,DC:A6:32:55:FC:D8,2020-07-12 17:14:46.130306,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-56
14,DC:A6:32:55:FC:D8,2020-07-12 17:14:48.135339,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-55
15,DC:A6:32:55:FC:D8,2020-07-12 17:14:50.140325,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-63
16,DC:A6:32:55:FC:D8,2020-07-12 17:14:52.145353,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-61
17,DC:A6:32:55:FC:D8,2020-07-12 17:14:54.150330,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-56
18,DC:A6:32:55:FC:D8,2020-07-12 17:14:56.155383,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-57
19,DC:A6:32:55:FC:D8,2020-07-12 17:14:57.025253,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-54
20,DC:A6:32:55:FC:D8,2020-07-12 17:14:59.030313,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-54
21,DC:A6:32:55:FC:D8,2020-07-12 17:15:01.035432,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-56
22,DC:A6:32:55:FC:D8,2020-07-12 17:15:02.170903,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-54
23,DC:A6:32:55:FC:D8,2020-07-12 17:15:04.176638,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-57
24,DC:A6:32:55:FC:D8,2020-07-12 17:15:06.181614,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-54
25,DC:A6:32:55:FC:D8,2020-07-12 17:15:07.304024,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-57
26,DC:A6:32:55:FC:D8,2020-07-12 17:15:09.309020,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-56
27,DC:A6:32:55:FC:D8,2020-07-12 17:15:11.314092,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-54
28,DC:A6:32:55:FC:D8,2020-07-12 17:15:12.323975,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-57
29,DC:A6:32:55:FC:D8,2020-07-12 17:15:13.002786,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-57
30,DC:A6:32:55:FC:D8,2020-07-12 17:15:14.152769,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-62
31,DC:A6:32:55:FC:D8,2020-07-12 17:15:15.151560,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-55
32,DC:A6:32:55:FC:D8,2020-07-12 17:15:17.155921,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-63
33,DC:A6:32:55:FC:D8,2020-07-12 17:15:19.160289,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-56
34,DC:A6:32:55:FC:D8,2020-07-12 17:15:21.165389,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-62
35,DC:A6:32:55:FC:D8,2020-07-12 17:15:23.170334,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-55
36,DC:A6:32:55:FC:D8,2020-07-12 17:15:25.175386,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-55
